"","ID","Area","x","y","Perim.","Major","Minor","angle","Circ.","Feret","Slice","feret_x","feret_y","feret_angle","MinFeret","AR","round","solidity","germination","convex","feret_diff","debris"
"38",132,124,597.919,164.073,42.87,14.628,10.793,65.777,0.848,15.652,6,594,171,63.435,11.371,1.355,0.738,0.892,"0",139.013452914798,4.281,"0"
"39",137,173,467.76,488.338,51.941,20.589,10.698,41.258,0.806,21.26,6,460,495,41.186,11.314,1.925,0.52,0.908,"0",190.528634361233,9.946,"0"
"40",140,146,764.712,531.185,47.456,16.593,11.203,168.331,0.815,16.763,6,757,528,162.646,11.508,1.481,0.675,0.896,"0",162.946428571429,5.255,"0"
"41",141,189,241.897,612.034,55.598,22.176,10.852,48.236,0.768,22.204,6,232,617,35.838,12,2.044,0.489,0.894,"0",211.409395973154,10.204,"0"
"42",145,191,213.678,835.102,56.184,21.943,11.083,35.392,0.76,22.804,6,205,842,37.875,12.494,1.98,0.505,0.878,"0",217.53986332574,10.31,"0"
"43",147,118,509.059,956.754,40.971,12.866,11.677,16.457,0.883,14.213,6,504,952,140.711,11,1.102,0.908,0.948,"0",124.472573839662,3.213,"0"
"44",165,202,97.178,366.713,60.527,22.805,11.278,7.421,0.693,23.087,8,86,370,17.65,12.162,2.022,0.495,0.88,"0",229.545454545455,10.925,"0"
"45",283,184,453.473,444.016,53.941,19.349,12.108,33.547,0.795,20.248,13,445,449,32.905,13.435,1.598,0.626,0.891,"0",206.509539842873,6.813,"0"
"46",289,181,96.439,598.025,54.042,20.811,11.074,178.884,0.779,20.616,13,86,596,165.964,11,1.879,0.532,0.919,"0",196.953210010881,9.616,"0"
"47",330,170,277.859,908.1,50.284,19.141,11.308,5.654,0.845,19.647,14,268,910,14.744,12,1.693,0.591,0.909,"0",187.018701870187,7.647,"0"
"48",333,282,217.394,69.78,73.841,30.73,11.684,29.75,0.65,30.017,15,204,77,29.982,13.035,2.63,0.38,0.869,"0",324.510932105869,16.982,"0"
"49",336,150,727.853,153.827,45.456,16.009,11.93,127.972,0.912,17.205,15,722,147,125.538,12.728,1.342,0.745,0.923,"0",162.513542795233,4.477,"0"
"50",343,209,160.505,306.132,55.456,21.372,12.451,2.321,0.854,21.378,15,150,304,169.216,12,1.716,0.583,0.941,"0",222.104144527099,9.378,"0"
"51",357,253,557.86,697.943,63.841,24.58,13.106,125.71,0.78,25.08,15,553,686,113.499,14.142,1.876,0.533,0.882,"0",286.848072562358,10.938,"0"
"52",380,182,353.302,365.126,54.77,21.214,10.923,150.978,0.762,21.633,16,343,360,146.31,11.554,1.942,0.515,0.886,"0",205.417607223476,10.079,"0"
"53",393,153,787.48,769.52,46.87,16.013,12.165,117.551,0.875,16.643,16,784,762,122.735,12.965,1.316,0.76,0.916,"0",167.03056768559,3.678,"0"
"54",414,202,698.703,344.282,54.87,20.801,12.364,92.265,0.843,21.213,17,696,334,98.13,12,1.682,0.594,0.94,"0",214.893617021277,9.213,"0"
"55",424,192,40.292,702.896,54.284,19.788,12.354,87.421,0.819,19.698,17,36,712,66.038,12,1.602,0.624,0.919,"0",208.92274211099,7.698,"0"
"56",430,210,166.938,898.667,59.698,20.3,13.171,96.808,0.74,20.881,17,163,909,73.301,13.636,1.541,0.649,0.882,"0",238.095238095238,7.245,"0"
"57",454,402,73.139,889.455,74.083,22.853,22.397,105.084,0.92,25.298,18,69,878,108.435,22.627,1.02,0.98,0.936,"0",429.487179487179,2.671,"0"
"58",455,189,992.616,933.532,69.012,22.196,10.842,82.779,0.499,26.249,18,987,946,72.255,12,2.047,0.488,0.829,"0",227.985524728589,14.249,"0"
"59",456,183,11.833,950.943,51.941,20.579,11.322,137.94,0.852,21.26,18,5,943,131.186,12.021,1.818,0.55,0.922,"0",198.481561822126,9.239,"0"
"60",477,183,870.374,732.806,51.698,19.85,11.738,160.983,0.86,20.616,19,861,729,157.166,12.649,1.691,0.591,0.922,"0",198.481561822126,7.967,"0"
"61",479,185,100.051,754.408,52.284,19.793,11.9,133.95,0.85,21.26,19,92,748,138.814,12.728,1.663,0.601,0.934,"0",198.072805139186,8.532,"0"
"62",482,187,879.131,804.217,51.941,20.069,11.864,154.937,0.871,20.616,19,870,800,157.166,12.813,1.692,0.591,0.919,"0",203.48204570185,7.803,"0"
"63",509,188,378.037,779.096,53.941,20.986,11.406,19.967,0.812,21.541,20,368,783,21.801,12.256,1.84,0.544,0.9,"0",208.888888888889,9.285,"0"
"64",513,206,473.068,39.044,56.87,21.229,12.355,7.908,0.8,22.472,21,462,42,20.854,13,1.718,0.582,0.909,"0",226.622662266227,9.472,"0"
"65",524,223,931.159,266.639,61.799,24.986,11.364,85.794,0.734,25.298,21,927,279,71.565,11,2.199,0.455,0.945,"0",235.978835978836,14.298,"0"
"66",533,165,471.852,648.912,52.426,18.042,11.644,30.401,0.754,19.235,21,463,652,27.897,12.691,1.549,0.645,0.892,"0",184.977578475336,6.544,"0"
"67",542,208,854.755,949.308,57.598,20.862,12.695,166.712,0.788,22.136,21,844,947,161.565,13.632,1.643,0.609,0.91,"0",228.571428571429,8.504,"0"
"68",544,197,430.327,259.947,55.698,21.524,11.654,112.648,0.798,21.954,22,425,251,120.069,12.605,1.847,0.541,0.912,"0",216.008771929825,9.349,"0"
"69",547,254,532.685,426.949,61.799,23.267,13.899,89.004,0.836,23.409,22,529,438,70.017,13,1.674,0.597,0.958,"0",265.135699373695,10.409,"0"
"70",549,202,364.708,531.599,58.527,23.249,11.063,118.92,0.741,24.698,22,358,521,121.759,12.075,2.102,0.476,0.908,"0",222.466960352423,12.623,"0"
"71",554,196,471.714,682.653,57.456,22.553,11.065,24.535,0.746,23.022,22,463,689,34.38,12.055,2.038,0.491,0.918,"0",213.507625272331,10.967,"0"
"72",556,274,67.135,784.35,77.012,27.799,12.55,165.079,0.581,29.547,22,53,776,156.038,14.077,2.215,0.451,0.835,"0",328.14371257485,15.47,"0"
"73",558,194,476.247,857.165,53.941,20.286,12.176,60.102,0.838,21.095,22,470,866,58.57,13.416,1.666,0.6,0.911,"0",212.952799121844,7.679,"0"
"74",559,187,393.516,857.222,52.627,20.023,11.891,171.865,0.848,20.248,22,384,854,159.775,12,1.684,0.594,0.933,"0",200.42872454448,8.248,"0"
"75",562,190,71.468,953.837,61.113,21.463,11.271,155.072,0.639,22.825,22,62,948,151.189,13.987,1.904,0.525,0.852,"0",223.004694835681,8.838,"0"
"76",563,217,809.988,17.053,61.113,22.204,12.443,18.026,0.73,22.472,23,799,19,20.854,13.339,1.784,0.56,0.884,"0",245.475113122172,9.133,"0"
