"","ID","Area","x","y","Perim.","Major","Minor","angle","Circ.","Feret","Slice","feret_x","feret_y","feret_angle","MinFeret","AR","round","solidity","germination","convex","feret_diff","debris"
"598",3000,325,88.974,129.555,100.326,36.304,11.398,86.674,0.406,37.336,101,85,146,69.624,14.572,3.185,0.314,0.688,"na",472.383720930233,22.764,"1"
"599",3005,102,142.529,252.971,48.042,15.592,8.329,66.931,0.555,18.358,101,140,262,60.642,11,1.872,0.534,0.764,"na",133.507853403141,7.358,"1"
"600",3007,204,131.495,277.275,74.569,23.493,11.056,54.302,0.461,27.731,101,127,288,64.359,13.435,2.125,0.471,0.746,"na",273.458445040214,14.296,"1"
"601",3009,262,52.031,368.687,78.184,31.633,10.546,11.906,0.539,30.676,101,38,374,19.026,12.213,3,0.333,0.806,"na",325.062034739454,18.463,"1"
"602",3027,271,21.068,979.965,88.326,18.982,18.177,153.06,0.437,24.698,101,17,990,58.241,20.055,1.044,0.958,0.708,"na",382.768361581921,4.643,"1"
"603",3038,297,871.87,170.2,92.569,28.027,13.493,83.913,0.436,32.388,102,873,189,81.119,18.287,2.077,0.481,0.668,"na",444.610778443114,14.101,"1"
"604",3107,452,666.973,822.752,78.669,24.225,23.757,133.355,0.918,25.942,103,661,811,117.553,24,1.02,0.981,0.945,"na",478.306878306878,1.942,"1"
"605",3111,530,19.087,923.202,113.64,38.073,17.724,167.145,0.516,41.11,103,1,916,161.565,22.709,2.148,0.466,0.76,"na",697.368421052632,18.401,"1"
"606",3244,458,174.862,261.605,80.326,24.828,23.487,150.815,0.892,26.476,108,161,262,10.886,23.335,1.057,0.946,0.939,"na",487.752928647497,3.141,"1"
"607",3248,288,578.583,353.517,76.184,30.275,12.112,92.323,0.624,29.275,108,577,339,97.853,13,2.5,0.4,0.889,"na",323.959505061867,16.275,"1"
"608",3252,267,88.893,432.421,69.841,22.069,15.404,41.568,0.688,24.698,108,78,436,31.759,18.196,1.433,0.698,0.838,"na",318.615751789976,6.502,"1"
"609",3284,168,131.738,145.649,53.113,16.589,12.894,73.18,0.748,17.72,109,131,136,106.39,14.91,1.287,0.777,0.87,"na",193.103448275862,2.81,"1"
"610",3340,350,145.097,446.866,94.569,38.528,11.566,114.494,0.492,38.079,110,139,429,119.932,14.311,3.331,0.3,0.774,"na",452.196382428941,23.768,"1"
"611",3372,342,166.076,216.702,90.811,26.006,16.744,123.582,0.521,33.121,111,156,202,118.887,18.805,1.553,0.644,0.813,"na",420.664206642066,14.316,"1"
"612",3407,235,30.274,899.509,64.669,22.993,13.013,135.679,0.706,24.839,111,21,891,139.899,14.837,1.767,0.566,0.861,"na",272.938443670151,10.002,"1"
"613",3461,289,1314.02,237.99,76.08,26.15,14.07,97.62,0.63,28.79,1,1311,225,110.32,15.46,1.86,0.54,0.84,"na",344.047619047619,13.33,"1"
