ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Solidity,Convex,FeretRatio,Germinated,Debris
2258,169,49.46,17.91,12.02,0.87,19.24,13.0,1.49,0.93,181,0.676,0,0
2259,140,45.46,16.57,10.76,0.85,17.09,11.88,1.54,0.89,157,0.695,0,0
2260,229,63.94,21.53,13.54,0.7,23.32,15.54,1.59,0.84,272,0.666,0,0
2261,179,61.6,21.51,10.59,0.59,23.85,12.74,2.03,0.81,220,0.534,0,0
2262,309,106.23,39.61,9.93,0.34,43.83,14.12,3.99,0.67,461,0.322,-1,1
2263,226,67.01,26.27,10.95,0.63,27.8,12.73,2.4,0.86,262,0.458,0,0
2264,194,68.08,26.92,9.18,0.53,28.28,11.31,2.93,0.8,242,0.4,0,0
2265,147,46.04,16.88,11.09,0.87,18.03,12.0,1.52,0.92,159,0.666,0,0
2266,145,44.04,14.62,12.63,0.94,15.81,13.0,1.16,0.93,155,0.822,0,0
2267,167,51.7,17.73,11.99,0.79,19.21,13.86,1.48,0.88,189,0.721,0,0
2268,214,64.18,25.14,10.84,0.65,26.93,12.61,2.32,0.86,248,0.468,0,0
2269,235,65.6,24.45,12.24,0.69,26.0,13.42,2.0,0.86,273,0.516,0,0
2270,208,65.94,24.99,10.6,0.6,26.25,13.16,2.36,0.81,256,0.501,0,0
2271,167,57.94,20.27,10.49,0.63,22.47,12.39,1.93,0.83,201,0.551,0,0
2272,189,57.11,19.8,12.15,0.73,22.2,14.65,1.63,0.85,222,0.66,0,0
2273,437,109.74,45.34,12.27,0.46,45.61,14.56,3.69,0.83,526,0.319,-1,1
2274,167,48.87,18.79,11.31,0.88,19.24,11.0,1.66,0.94,177,0.572,0,0
2275,150,54.18,20.28,9.42,0.64,21.4,10.82,2.15,0.84,178,0.506,0,0
2276,189,53.94,19.49,12.35,0.82,20.62,14.0,1.58,0.9,210,0.679,0,0
2277,189,59.46,24.25,9.92,0.67,24.74,11.0,2.44,0.88,214,0.445,0,0
2278,182,58.18,21.76,10.65,0.68,24.19,12.0,2.04,0.85,214,0.496,0,0
2279,207,59.36,21.63,12.19,0.74,23.32,14.05,1.77,0.9,230,0.602,0,0
2280,193,63.7,21.85,11.25,0.6,23.85,13.42,1.94,0.79,244,0.563,0,0
2281,162,55.94,21.03,9.81,0.65,23.02,12.33,2.14,0.84,192,0.536,0,0
2282,351,89.5,34.12,13.1,0.55,36.62,16.32,2.61,0.79,444,0.446,-1,1
2283,154,48.87,18.77,10.45,0.81,20.62,11.93,1.8,0.91,169,0.579,0,0
2284,189,59.01,18.72,12.85,0.68,20.4,15.0,1.46,0.85,222,0.735,0,0
2285,161,47.46,16.68,12.29,0.9,18.03,13.55,1.36,0.91,176,0.752,0,0
2286,303,72.43,26.85,14.37,0.73,27.46,16.41,1.87,0.87,348,0.598,-1,1
2287,187,56.18,21.51,11.07,0.74,22.02,12.15,1.94,0.87,214,0.552,0,0
2288,136,45.46,16.51,10.49,0.83,18.6,11.56,1.57,0.89,152,0.622,0,0
2289,205,59.94,22.19,11.76,0.72,24.19,13.33,1.89,0.87,235,0.551,0,0
2290,186,67.11,22.6,10.48,0.52,25.0,14.62,2.16,0.72,258,0.585,0,0
2291,212,66.67,24.48,11.03,0.6,27.2,12.67,2.22,0.83,255,0.466,0,0
2292,178,54.53,20.55,11.03,0.75,21.84,12.58,1.86,0.88,202,0.576,0,0
2293,161,47.7,16.08,12.75,0.89,17.09,13.72,1.26,0.91,176,0.803,0,0
2294,210,57.7,21.19,12.62,0.79,23.32,14.12,1.68,0.9,233,0.605,0,0
2295,238,66.18,25.29,11.98,0.68,27.29,14.25,2.11,0.89,267,0.522,0,0
2296,163,51.11,19.06,10.89,0.78,20.25,11.0,1.75,0.91,179,0.543,0,0
2297,240,70.43,24.35,12.55,0.61,26.4,15.33,1.94,0.79,303,0.581,0,0
2298,184,56.77,21.4,10.95,0.72,22.47,12.09,1.96,0.86,213,0.538,0,0
2299,210,58.18,21.32,12.54,0.78,23.02,13.51,1.7,0.9,233,0.587,0,0
2300,185,57.7,21.08,11.18,0.7,23.02,12.97,1.89,0.87,212,0.563,0,0
2301,207,68.43,23.07,11.43,0.56,25.5,14.59,2.02,0.77,268,0.572,0,0
2302,183,56.53,20.65,11.28,0.72,21.95,12.61,1.83,0.86,212,0.574,0,0
2303,154,48.87,17.95,10.92,0.81,19.24,11.96,1.64,0.89,173,0.622,0,0
2304,193,57.6,23.22,10.58,0.73,24.21,12.02,2.19,0.89,216,0.496,0,0
2305,332,77.36,28.05,15.07,0.7,29.83,16.0,1.86,0.89,373,0.536,-1,1
2306,185,52.77,20.63,11.42,0.83,21.26,12.02,1.81,0.9,205,0.565,0,0
2307,154,51.11,18.45,10.63,0.74,20.52,11.65,1.74,0.89,173,0.568,0,0
2308,163,49.94,18.97,10.94,0.82,20.0,11.65,1.73,0.91,179,0.583,0,0
2309,191,55.94,19.41,12.53,0.77,21.54,13.74,1.55,0.89,214,0.638,0,0
2310,190,58.28,20.16,12.0,0.7,23.02,13.41,1.68,0.85,223,0.583,0,0
2311,215,63.36,22.85,11.98,0.67,24.74,13.82,1.91,0.88,244,0.559,0,0
2312,159,51.94,19.8,10.22,0.74,21.19,11.63,1.94,0.87,182,0.549,0,0
2313,184,53.6,21.2,11.05,0.8,21.63,12.02,1.92,0.89,206,0.556,0,0
2314,163,53.7,17.71,11.72,0.71,20.0,13.03,1.51,0.87,187,0.651,0,0
2315,213,60.77,22.81,11.89,0.72,24.6,13.31,1.92,0.9,236,0.541,0,0
2316,180,57.11,20.04,11.44,0.69,22.02,13.1,1.75,0.84,214,0.595,0,0
2317,153,48.28,17.77,10.96,0.82,19.42,11.0,1.62,0.93,164,0.566,0,0
2318,141,48.28,17.63,10.18,0.76,19.85,12.02,1.73,0.87,162,0.606,0,0
2319,149,46.87,18.04,10.51,0.85,19.31,11.0,1.72,0.91,163,0.57,0,0
2320,162,51.11,19.16,10.77,0.78,21.4,12.02,1.78,0.91,178,0.562,0,0
2321,280,80.91,30.63,11.64,0.54,32.7,13.78,2.63,0.82,341,0.421,0,0
2322,199,57.36,19.97,12.69,0.76,21.93,14.76,1.57,0.88,226,0.673,0,0
2323,180,57.01,23.48,9.76,0.7,24.41,11.31,2.41,0.87,206,0.463,0,0
2324,142,47.11,18.13,9.97,0.8,19.21,11.31,1.82,0.9,157,0.589,0,0
2325,224,69.6,24.69,11.55,0.58,26.42,14.44,2.14,0.8,280,0.547,0,0
2326,144,52.53,18.59,9.86,0.66,20.25,11.73,1.89,0.83,173,0.579,0,0
2327,374,95.98,41.47,11.48,0.51,40.82,13.12,3.61,0.86,434,0.321,-1,1
2328,142,46.87,17.28,10.46,0.81,19.42,11.63,1.65,0.89,159,0.599,0,0
2329,174,60.18,22.99,9.64,0.6,24.19,11.49,2.39,0.85,204,0.475,0,0
2330,221,61.6,21.52,13.08,0.73,23.32,15.48,1.65,0.87,254,0.664,0,0
2331,178,52.87,18.95,11.96,0.8,20.62,13.31,1.59,0.9,197,0.645,0,0
2332,163,55.36,21.74,9.55,0.67,23.43,11.56,2.28,0.83,196,0.493,0,0
2333,182,60.53,20.34,11.39,0.62,22.8,14.42,1.79,0.82,221,0.632,0,0
2334,244,64.77,24.42,12.72,0.73,26.4,14.7,1.92,0.87,280,0.557,0,0
2335,172,59.36,23.04,9.51,0.61,24.6,11.18,2.42,0.82,209,0.454,0,0
2336,184,58.77,22.86,10.25,0.67,23.85,11.96,2.23,0.85,216,0.501,0,0
2337,308,72.18,28.89,13.58,0.74,29.15,15.18,2.13,0.9,342,0.521,0,0
2338,184,65.6,21.89,10.7,0.54,23.85,13.7,2.05,0.78,235,0.574,0,0
2339,204,61.11,23.61,11.0,0.69,24.7,12.85,2.15,0.85,240,0.52,0,0
2340,226,63.5,25.85,11.13,0.7,26.63,12.02,2.32,0.89,253,0.451,0,0
2341,302,75.84,29.23,13.16,0.66,30.89,15.78,2.22,0.87,347,0.511,0,0
2342,209,63.84,24.9,10.69,0.64,27.2,12.73,2.33,0.84,248,0.468,0,0
2343,233,65.94,25.54,11.61,0.67,26.17,13.1,2.2,0.87,267,0.501,0,0
2344,182,61.25,24.35,9.52,0.61,25.24,11.09,2.56,0.83,219,0.439,0,0
2345,265,73.6,27.87,12.1,0.61,29.27,13.82,2.3,0.85,311,0.472,0,0
2346,155,51.36,18.6,10.61,0.74,19.21,11.77,1.75,0.86,180,0.613,0,0
2347,150,53.36,18.85,10.13,0.66,20.62,12.09,1.86,0.8,187,0.586,0,0
2348,200,57.94,20.93,12.17,0.75,22.47,13.72,1.72,0.87,229,0.611,0,0
2349,198,56.18,19.86,12.7,0.79,21.26,14.14,1.56,0.9,220,0.665,0,0
2350,265,77.6,29.9,11.29,0.55,31.38,14.43,2.65,0.78,339,0.46,-1,1
2351,173,59.36,21.71,10.15,0.62,23.02,13.44,2.14,0.82,210,0.584,0,0
2352,228,67.25,22.82,12.72,0.63,25.32,15.11,1.79,0.81,281,0.597,0,0
2353,173,57.94,21.58,10.21,0.65,23.26,12.0,2.11,0.84,205,0.516,0,0
2354,218,58.18,21.04,13.19,0.81,23.02,14.14,1.59,0.91,239,0.614,0,0
2355,159,57.6,21.48,9.43,0.6,23.09,11.38,2.28,0.84,189,0.493,0,0
2356,161,54.53,19.14,10.71,0.68,21.4,12.49,1.79,0.83,193,0.584,0,0
2357,216,61.01,23.68,11.61,0.73,25.5,13.12,2.04,0.89,242,0.515,0,0
2358,213,63.6,25.74,10.53,0.66,27.29,12.76,2.44,0.86,247,0.468,0,0
2359,192,63.36,24.43,10.0,0.6,26.4,12.0,2.44,0.86,223,0.455,0,0
2360,182,53.6,19.97,11.6,0.8,21.26,12.02,1.72,0.9,202,0.565,0,0
2361,204,63.94,23.75,10.93,0.63,26.4,13.05,2.17,0.82,248,0.494,0,0
2362,233,68.08,24.19,12.26,0.63,26.83,14.41,1.97,0.86,270,0.537,0,0
2363,182,50.28,18.2,12.74,0.9,19.21,13.44,1.43,0.93,195,0.7,0,0
2364,191,61.6,24.83,9.79,0.63,26.63,11.4,2.53,0.85,224,0.428,0,0
2365,120,42.63,14.91,10.25,0.83,15.52,11.0,1.46,0.89,134,0.709,0,0
2366,229,70.08,28.3,10.3,0.59,28.84,12.91,2.75,0.79,289,0.448,0,0
2367,214,60.77,22.29,12.23,0.73,24.7,14.16,1.82,0.86,248,0.573,0,0
2368,186,56.18,22.77,10.4,0.74,23.71,12.26,2.19,0.87,213,0.517,0,0
2369,507,131.44,34.58,18.67,0.37,37.66,25.79,1.85,0.73,694,0.685,-1,1
2370,184,57.36,21.32,10.99,0.7,22.36,12.0,1.94,0.87,211,0.537,0,0
2371,192,53.94,20.66,11.83,0.83,21.95,12.97,1.75,0.91,210,0.591,0,0
2372,195,57.94,21.63,11.48,0.73,23.32,12.97,1.88,0.88,221,0.556,0,0
2373,228,63.6,23.09,12.57,0.71,24.21,14.14,1.84,0.85,268,0.584,0,0
2374,123,44.28,16.31,9.6,0.79,18.44,10.61,1.7,0.88,139,0.575,0,0
2375,159,51.11,18.87,10.73,0.76,20.25,12.0,1.76,0.9,176,0.593,0,0
2376,379,111.88,31.38,15.38,0.38,34.21,21.97,2.04,0.7,541,0.642,-1,1
2377,174,52.87,20.57,10.77,0.78,21.02,12.02,1.91,0.88,197,0.572,0,0
