ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Solidity,Convex,FeretRatio,Germinated,Debris
2082,164,52.28,18.16,11.5,0.75,19.42,11.71,1.58,0.88,186,0.603,0,0
2083,159,50.87,17.45,11.6,0.77,19.85,12.97,1.5,0.89,178,0.653,0,0
2084,167,51.7,17.88,11.89,0.79,20.25,13.31,1.5,0.88,189,0.657,0,0
2085,205,56.87,21.61,12.08,0.8,21.84,12.54,1.79,0.91,225,0.574,0,0
2086,187,55.36,21.26,11.2,0.77,22.2,12.02,1.9,0.88,212,0.541,0,0
2087,206,60.77,21.55,12.17,0.7,23.19,13.0,1.77,0.87,236,0.561,0,0
2088,426,108.37,42.2,12.85,0.46,45.34,14.89,3.28,0.83,513,0.328,-1,1
2089,246,63.94,24.97,12.55,0.76,26.4,13.86,1.99,0.92,267,0.525,0,0
2090,214,60.53,23.37,11.66,0.73,25.08,12.97,2.0,0.9,237,0.517,0,0
2091,165,53.46,20.0,10.5,0.73,21.54,11.4,1.9,0.86,191,0.529,0,0
2092,174,49.94,17.88,12.39,0.88,19.65,13.0,1.44,0.92,189,0.662,0,0
2093,226,61.94,22.33,12.89,0.74,24.41,14.7,1.73,0.87,259,0.602,0,0
2094,337,91.4,29.98,14.31,0.51,31.95,17.33,2.09,0.78,432,0.542,-1,1
2095,150,45.7,16.54,11.54,0.9,17.2,12.73,1.43,0.9,166,0.74,0,0
2096,166,56.18,21.92,9.64,0.66,24.08,11.31,2.27,0.85,195,0.47,0,0
2097,221,70.08,24.13,11.66,0.57,26.42,13.83,2.07,0.78,283,0.523,0,0
2098,172,61.94,19.75,11.09,0.56,21.63,14.38,1.78,0.76,226,0.665,0,0
2099,368,85.74,25.03,18.72,0.63,28.84,23.12,1.34,0.8,460,0.802,-1,1
2100,271,72.53,29.02,11.89,0.65,29.12,13.0,2.44,0.88,307,0.446,-1,1
2101,186,59.36,20.63,11.48,0.66,22.2,13.42,1.8,0.82,226,0.605,0,0
2102,174,52.63,21.16,10.47,0.79,21.21,10.0,2.02,0.94,185,0.471,0,0
2103,278,95.05,26.84,13.19,0.39,34.71,16.97,2.04,0.75,370,0.489,-1,1
2104,143,47.11,17.07,10.66,0.81,18.03,12.0,1.6,0.91,157,0.666,0,0
2105,156,50.04,19.41,10.24,0.78,20.25,11.0,1.9,0.91,171,0.543,0,0
2106,199,59.94,21.2,11.95,0.7,22.8,13.0,1.77,0.88,226,0.57,0,0
2107,153,46.63,17.64,11.05,0.88,18.79,11.0,1.6,0.94,162,0.585,0,0
2108,190,61.01,23.68,10.22,0.64,26.17,11.93,2.32,0.85,223,0.456,0,0
2109,296,77.84,27.89,13.51,0.61,28.23,15.1,2.06,0.85,348,0.535,-1,1
2110,204,64.18,21.17,12.27,0.62,22.56,14.0,1.73,0.85,240,0.621,0,0
2111,240,63.7,25.2,12.13,0.74,25.18,12.0,2.08,0.92,260,0.477,0,0
2112,173,51.21,18.01,12.23,0.83,19.24,12.0,1.47,0.94,184,0.624,0,0
2113,477,129.44,37.83,16.06,0.36,43.91,21.2,2.36,0.68,701,0.483,-1,1
2114,195,72.18,24.94,9.95,0.47,28.43,12.73,2.51,0.72,270,0.448,0,0
2115,303,87.5,26.84,14.37,0.5,30.08,17.67,1.87,0.76,398,0.587,-1,1
2116,141,46.87,17.44,10.29,0.81,18.38,11.0,1.69,0.9,156,0.598,0,0
2117,146,47.7,18.47,10.06,0.81,18.97,10.77,1.84,0.9,162,0.568,0,0
2118,215,58.18,21.83,12.54,0.8,23.6,13.44,1.74,0.91,236,0.569,0,0
2119,147,44.63,15.33,12.21,0.93,16.64,12.0,1.25,0.94,156,0.721,0,0
2120,216,71.25,24.34,11.3,0.53,25.96,14.17,2.15,0.76,284,0.546,0,0
2121,150,46.28,15.92,12.0,0.88,17.2,13.21,1.33,0.9,166,0.768,0,0
2122,166,53.7,19.83,10.66,0.72,21.4,11.63,1.86,0.86,193,0.543,0,0
2123,149,49.94,19.51,9.72,0.75,20.81,11.31,2.01,0.87,171,0.543,0,0
2124,193,67.36,24.24,10.14,0.53,26.25,12.5,2.39,0.81,238,0.476,0,0
2125,174,58.53,22.35,9.91,0.64,23.54,10.6,2.26,0.86,202,0.45,0,0
2126,179,60.53,21.12,10.79,0.61,23.26,12.28,1.96,0.84,213,0.528,0,0
2127,207,73.5,25.66,10.27,0.48,28.16,13.09,2.5,0.75,276,0.465,0,0
2128,174,49.7,18.21,12.16,0.89,19.42,13.44,1.5,0.91,191,0.692,0,0
2129,176,53.36,17.6,12.73,0.78,19.31,14.0,1.38,0.87,202,0.725,0,0
2130,130,42.87,14.86,11.14,0.89,15.26,12.07,1.33,0.9,144,0.791,0,0
2131,177,53.6,17.17,13.12,0.77,18.44,13.91,1.31,0.89,198,0.754,0,0
2132,465,116.95,33.98,17.42,0.43,40.25,20.09,1.95,0.76,611,0.499,-1,1
2133,263,84.08,21.24,15.77,0.47,25.71,20.76,1.35,0.74,355,0.807,-1,1
2134,270,80.91,27.44,12.53,0.52,30.27,16.0,2.19,0.75,360,0.529,-1,1
2135,219,59.7,21.98,12.69,0.77,23.77,13.58,1.73,0.9,243,0.571,0,0
2136,200,69.6,23.99,10.62,0.52,27.2,14.03,2.26,0.78,256,0.516,0,0
2137,213,78.18,25.93,10.46,0.44,29.68,14.22,2.48,0.66,322,0.479,0,0
2138,167,53.11,21.09,10.08,0.74,22.47,11.18,2.09,0.91,183,0.498,0,0
2139,209,63.94,25.14,10.59,0.64,25.96,12.02,2.37,0.87,240,0.463,0,0
2140,203,61.94,22.33,11.58,0.66,24.41,13.19,1.93,0.85,238,0.54,0,0
2141,180,60.43,23.83,9.62,0.62,25.0,11.8,2.48,0.82,219,0.472,0,0
2142,164,51.6,17.16,12.17,0.77,18.03,13.7,1.41,0.84,195,0.76,0,0
2143,170,52.87,20.38,10.62,0.76,21.21,11.0,1.92,0.9,188,0.519,0,0
2144,147,48.28,18.21,10.28,0.79,19.42,11.0,1.77,0.89,165,0.566,0,0
2145,154,49.94,17.12,11.45,0.78,18.36,13.28,1.49,0.87,177,0.723,0,0
2146,417,104.08,31.19,17.02,0.48,34.21,23.7,1.83,0.74,563,0.693,-1,1
2147,162,52.53,19.91,10.36,0.74,21.47,12.02,1.92,0.87,186,0.56,0,0
2148,240,66.18,24.12,12.67,0.69,25.3,13.97,1.9,0.87,275,0.552,0,0
2149,203,61.36,23.45,11.02,0.68,24.7,13.25,2.13,0.86,236,0.536,0,0
2150,171,51.8,20.39,10.68,0.8,20.88,10.0,1.91,0.95,180,0.479,0,0
2151,150,46.53,16.54,11.55,0.87,17.2,12.02,1.43,0.91,164,0.699,0,0
2152,135,46.28,16.56,10.38,0.79,17.49,11.63,1.59,0.89,151,0.665,0,0
2153,162,48.28,15.89,12.98,0.87,17.09,13.72,1.22,0.9,180,0.803,0,0
2154,168,50.87,18.57,11.52,0.82,18.97,12.0,1.61,0.9,186,0.633,0,0
2155,181,62.43,21.29,10.82,0.58,23.41,13.5,1.97,0.77,235,0.577,0,0
2156,216,61.94,22.51,12.22,0.71,24.08,14.03,1.84,0.86,251,0.583,0,0
2157,169,49.46,16.46,13.07,0.87,17.2,13.29,1.26,0.91,185,0.773,0,0
2158,195,66.33,23.8,10.43,0.56,26.0,13.2,2.28,0.78,250,0.508,0,0
2159,175,52.28,19.75,11.28,0.8,21.4,12.48,1.75,0.92,190,0.583,0,0
2160,185,54.28,19.39,12.15,0.79,21.63,13.73,1.6,0.9,205,0.635,0,0
