ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,spore
8207,311,86.33,31.59,12.53,0.52,33.3,16.14,2.52,0.4,0.75,1
6089,149,52.28,16.95,11.19,0.68,17.89,12.0,1.51,0.66,0.87,1
8509,207,57.94,22.18,11.88,0.77,23.41,13.52,1.87,0.54,0.89,1
7114,142,46.97,15.15,11.94,0.81,17.2,12.0,1.27,0.79,0.92,1
7443,157,46.28,16.66,12.0,0.92,17.8,12.73,1.39,0.72,0.93,1
9365,196,52.28,18.79,13.28,0.9,19.72,14.0,1.41,0.71,0.92,1
2625,222,67.841,25.465,11.1,0.606,27.203,13.952,2.294,0.436,0.818,1
3361,193,59.213,23.801,10.325,0.692,24.698,10.687,2.305,0.434,0.9,1
8435,172,51.7,18.81,11.64,0.81,19.42,12.4,1.62,0.62,0.89,1
9281,155,47.11,17.85,11.05,0.88,18.6,12.0,1.62,0.62,0.91,1
8626,191,52.77,20.5,11.86,0.86,20.81,12.73,1.73,0.58,0.92,1
4235,117,42.87,13.8,10.8,0.8,15.0,12.0,1.28,0.78,0.89,1
2615,195,58.527,20.829,11.92,0.715,23.601,13.868,1.747,0.572,0.871,1
2678,215,58.184,21.827,12.542,0.798,23.601,13.435,1.74,0.575,0.907,1
7843,140,44.04,15.58,11.44,0.91,16.28,11.0,1.36,0.73,0.92,1
4465,103,38.04,12.24,10.71,0.89,13.45,11.63,1.14,0.87,0.88,1
7951,151,46.38,16.85,11.41,0.88,17.09,11.0,1.48,0.68,0.94,1
1206,105,37.456,13.93,9.597,0.941,14.765,10.4,1.451,0.689,0.913,1
8548,181,53.46,20.02,11.51,0.8,20.62,12.4,1.74,0.58,0.9,1
6465,224,58.18,18.89,15.1,0.83,20.62,16.46,1.25,0.8,0.89,1
695,145,48.87,16.625,11.105,0.763,17.464,12.0,1.497,0.668,0.879,1
1994,120,40.87,14.875,10.272,0.903,15.811,11.088,1.448,0.691,0.902,1
64,185,58.527,21.341,11.037,0.679,23.022,12.481,1.933,0.517,0.879,1
2926,280,80.912,30.629,11.639,0.537,32.696,13.782,2.632,0.38,0.825,1
8552,151,46.87,15.83,12.14,0.86,17.2,13.31,1.3,0.77,0.91,1
8566,204,58.87,20.93,12.41,0.74,21.54,12.74,1.69,0.59,0.89,1
1673,118,40.042,15.465,9.715,0.925,15.811,10.0,1.592,0.628,0.929,1
3355,197,59.598,20.605,12.173,0.697,22.472,14.512,1.693,0.591,0.851,1
9501,188,53.36,21.01,11.39,0.83,22.02,12.02,1.84,0.54,0.92,1
9361,175,51.11,18.77,11.87,0.84,20.0,13.44,1.58,0.63,0.9,1
