ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,spore
932,98,36.385,14.519,8.594,0.93,14.56,8.0,1.69,0.592,0.951,1
933,121,43.698,15.899,9.69,0.796,16.553,10.752,1.641,0.609,0.883,1
934,315,92.569,25.048,16.012,0.462,29.0,19.454,1.564,0.639,0.722,0
935,104,40.284,14.688,9.015,0.805,15.264,9.839,1.629,0.614,0.885,1
936,112,41.213,15.604,9.139,0.829,16.155,9.61,1.707,0.586,0.907,1
937,113,42.971,16.046,8.966,0.769,17.205,9.487,1.79,0.559,0.926,1
938,100,39.799,13.421,9.487,0.793,14.318,9.0,1.415,0.707,0.917,1
939,121,43.456,16.4,9.394,0.805,17.0,10.111,1.746,0.573,0.893,1
940,115,43.355,16.792,8.72,0.769,17.029,9.859,1.926,0.519,0.858,1
941,103,39.799,15.118,8.674,0.817,15.297,9.0,1.743,0.574,0.904,1
942,290,99.397,27.087,13.632,0.369,29.698,16.6,1.987,0.503,0.779,0
943,293,87.154,26.159,14.261,0.485,26.926,16.856,1.834,0.545,0.825,0
944,106,42.042,16.363,8.248,0.754,16.643,8.944,1.984,0.504,0.883,1
945,112,39.698,15.014,9.498,0.893,15.811,9.899,1.581,0.633,0.903,1
946,119,44.627,17.369,8.724,0.751,18.028,9.0,1.991,0.502,0.915,1
947,114,42.87,14.981,9.689,0.779,15.811,11.49,1.546,0.647,0.887,1
948,111,41.213,15.203,9.296,0.821,15.811,9.803,1.635,0.612,0.899,1
949,104,39.799,15.047,8.8,0.825,15.232,9.217,1.71,0.585,0.893,1
950,104,40.385,15.461,8.564,0.801,15.524,9.0,1.805,0.554,0.897,1
951,106,38.627,14.954,9.025,0.893,15.232,9.414,1.657,0.604,0.91,1
952,130,45.698,17.67,9.367,0.782,18.439,10.539,1.886,0.53,0.893,1
953,118,46.87,15.657,9.596,0.675,17.088,10.0,1.632,0.613,0.874,1
954,110,39.213,14.635,9.57,0.899,15.232,10.0,1.529,0.654,0.921,1
955,267,75.154,22.304,15.242,0.594,23.77,17.911,1.463,0.683,0.834,0
956,192,66.184,15.896,15.379,0.551,19.209,16.0,1.034,0.967,0.838,0
957,146,47.113,15.395,12.075,0.827,16.401,13.435,1.275,0.784,0.901,1
958,115,42.284,15.876,9.223,0.808,16.279,10.0,1.721,0.581,0.898,1
959,107,39.799,15.475,8.804,0.849,15.811,9.0,1.758,0.569,0.915,1
960,127,44.627,15.926,10.153,0.801,16.492,10.0,1.569,0.638,0.92,1
961,134,49.355,16.065,10.62,0.691,17.804,12.021,1.513,0.661,0.835,1
962,125,42.87,16.141,9.86,0.855,16.492,10.399,1.637,0.611,0.899,1
963,217,72.083,17.398,15.881,0.525,20.248,17.948,1.095,0.913,0.824,0
964,124,42.627,15.883,9.94,0.858,17.0,11.0,1.598,0.626,0.915,1
965,73,32.627,11.568,8.035,0.862,12.207,8.497,1.44,0.695,0.869,0
966,95,45.113,14.215,8.509,0.587,15.264,10.461,1.671,0.599,0.757,0
967,311,98.468,27.796,14.246,0.403,30.083,17.827,1.951,0.513,0.747,0
968,141,46.627,16.228,11.063,0.815,17.205,11.0,1.467,0.682,0.922,1
969,40,24.971,8.576,5.939,0.806,9.22,6.791,1.444,0.693,0.816,0
970,103,40.042,14.947,8.774,0.807,15.297,9.799,1.703,0.587,0.873,1
971,109,39.698,14.382,9.65,0.869,15.264,10.607,1.49,0.671,0.876,1
972,309,87.497,24.383,16.135,0.507,28.636,17.855,1.511,0.662,0.825,0
973,247,88.811,23.526,13.368,0.394,26.42,15.684,1.76,0.568,0.78,0
974,131,45.456,16.755,9.955,0.797,18.028,10.686,1.683,0.594,0.891,1
975,218,68.184,17.854,15.546,0.589,19.723,16.0,1.148,0.871,0.857,0
976,125,43.698,17.021,9.351,0.823,17.493,10.2,1.82,0.549,0.896,1
977,160,51.941,16.542,12.315,0.745,18.868,13.0,1.343,0.745,0.912,1
