ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,germination
289,181,54.042,20.811,11.074,0.779,20.616,11.0,1.879,0
9779,136,43.46,14.16,12.23,0.91,15.0,12.97,1.16,0
4594,223,64.77,20.77,13.67,0.67,22.36,15.33,1.52,0
2990,195,53.698,19.117,12.987,0.85,20.616,14.524,1.472,0
2950,184,57.355,21.404,10.945,0.703,22.472,12.093,1.956,0
1625,119,42.042,15.997,9.472,0.846,16.492,10.0,1.689,0
9368,150,49.11,18.69,10.22,0.78,19.42,11.63,1.83,0
4252,145,45.7,15.12,12.21,0.87,16.4,12.73,1.24,0
777,165,47.941,17.513,11.996,0.902,17.889,12.728,1.46,0
2407,227,55.113,19.963,14.478,0.939,20.616,14.0,1.379,0
443,189,52.77,18.921,12.718,0.853,19.416,13.741,1.488,0
1034,176,53.698,18.198,12.314,0.767,19.105,12.969,1.478,0
6652,154,46.28,16.04,12.23,0.9,16.64,13.0,1.31,0
5640,116,38.97,13.75,10.74,0.96,15.62,11.0,1.28,0
4104,213,59.94,20.32,13.34,0.74,23.41,14.0,1.52,0
1342,110,38.042,14.196,9.866,0.955,15.0,10.607,1.439,0
4469,182,59.11,20.26,11.44,0.65,21.59,13.98,1.77,0
7158,232,57.7,20.32,14.54,0.88,21.54,15.0,1.4,0
485,175,49.698,18.676,11.931,0.89,20.0,12.728,1.565,0
7034,201,56.28,21.76,11.76,0.8,22.36,12.47,1.85,0
5688,106,38.97,11.95,11.29,0.88,13.45,11.0,1.06,0
553,160,47.456,17.498,11.643,0.893,18.385,12.0,1.503,0
1507,114,40.284,15.421,9.412,0.883,15.811,9.899,1.638,0
7437,222,60.53,21.55,13.12,0.76,22.36,15.0,1.64,0
2707,155,49.456,18.178,10.857,0.796,20.125,12.0,1.674,0
7676,390,103.3,32.37,15.34,0.46,35.81,19.77,2.11,0
1317,117,40.042,15.229,9.782,0.917,15.811,10.0,1.557,0
6994,161,48.28,18.13,11.31,0.87,18.68,12.0,1.6,0
940,157,47.113,16.622,12.026,0.889,17.464,12.0,1.382,0
