ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,conidium
808,111,42.042,16.744,8.44,0.789,16.763,9.171,1.984,0.504,0.884,1
809,101,37.213,14.499,8.869,0.917,14.866,9.0,1.635,0.612,0.922,1
810,103,38.87,15.589,8.413,0.857,15.811,9.0,1.853,0.54,0.907,1
811,97,38.042,15.079,8.19,0.842,15.62,9.153,1.841,0.543,0.902,1
812,92,36.042,13.988,8.374,0.89,14.765,9.171,1.67,0.599,0.902,1
813,90,36.042,13.673,8.381,0.871,14.318,8.944,1.632,0.613,0.9,1
814,96,37.456,14.452,8.458,0.86,15.0,9.192,1.709,0.585,0.91,1
815,103,39.213,15.977,8.208,0.842,16.492,8.0,1.947,0.514,0.941,1
816,81,33.456,12.267,8.407,0.909,13.0,9.153,1.459,0.685,0.905,1
817,110,40.042,15.996,8.756,0.862,16.492,9.0,1.827,0.547,0.917,1
818,90,35.456,13.832,8.284,0.9,14.318,8.944,1.67,0.599,0.914,1
819,113,38.627,14.515,9.912,0.952,15.232,10.0,1.464,0.683,0.946,1
820,52,25.799,8.703,7.607,0.982,9.487,8.0,1.144,0.874,0.897,1
821,124,42.87,16.834,9.379,0.848,17.493,10.607,1.795,0.557,0.915,1
822,112,40.87,16.238,8.782,0.843,17.088,9.803,1.849,0.541,0.903,1
823,95,36.627,13.501,8.959,0.89,14.318,9.701,1.507,0.664,0.909,1
824,60,28.042,9.734,7.848,0.959,10.77,8.485,1.24,0.806,0.882,1
825,101,38.042,15.012,8.566,0.877,15.811,9.192,1.752,0.571,0.922,1
826,87,34.627,12.207,9.074,0.912,13.0,9.803,1.345,0.743,0.902,1
827,68,28.971,10.301,8.405,1.0,10.77,8.0,1.226,0.816,0.944,1
828,111,39.213,15.235,9.276,0.907,15.524,9.0,1.642,0.609,0.933,1
829,116,40.87,15.041,9.82,0.873,15.62,10.607,1.532,0.653,0.91,1
830,89,35.213,13.58,8.344,0.902,14.213,9.192,1.627,0.614,0.918,1
832,88,34.627,13.297,8.426,0.922,13.928,9.0,1.578,0.634,0.926,1
833,112,40.527,16.404,8.693,0.857,16.643,9.192,1.887,0.53,0.903,1
834,104,38.042,15.02,8.816,0.903,15.652,9.391,1.704,0.587,0.924,1
835,94,36.627,14.52,8.243,0.88,14.866,8.974,1.761,0.568,0.908,1
836,56,26.627,9.222,7.731,0.993,9.849,7.778,1.193,0.838,0.903,1
837,105,38.627,14.479,9.233,0.884,15.264,10.286,1.568,0.638,0.917,1
838,93,36.627,14.7,8.055,0.871,15.264,8.944,1.825,0.548,0.921,1
839,116,38.627,13.417,11.008,0.977,14.765,11.0,1.219,0.82,0.943,1
840,96,37.213,14.511,8.424,0.871,15.232,9.0,1.723,0.581,0.919,1
841,89,35.456,14.589,7.767,0.89,15.0,8.485,1.878,0.532,0.913,1
842,92,37.113,15.422,7.595,0.839,15.62,7.778,2.03,0.493,0.898,1
843,86,34.627,13.217,8.285,0.901,13.928,9.0,1.595,0.627,0.896,1
844,59,27.556,10.133,7.414,0.976,10.77,7.0,1.367,0.732,0.937,1
845,92,36.042,13.543,8.649,0.89,14.318,9.0,1.566,0.639,0.906,1
846,94,36.042,14.131,8.47,0.909,14.765,9.192,1.668,0.599,0.926,1
847,100,38.284,15.61,8.156,0.857,15.811,8.902,1.914,0.522,0.893,1
848,101,38.042,14.71,8.742,0.877,15.297,9.0,1.683,0.594,0.914,1
849,99,37.799,14.926,8.445,0.871,15.232,9.0,1.767,0.566,0.925,1
850,89,35.456,13.721,8.259,0.89,14.318,8.944,1.661,0.602,0.908,1
851,186,62.77,26.296,9.006,0.593,25.962,10.672,2.92,0.342,0.844,0
852,57,26.971,9.375,7.741,0.985,10.296,8.0,1.211,0.826,0.919,1
853,103,39.698,16.334,8.029,0.821,16.643,8.485,2.034,0.492,0.904,1
854,76,31.799,11.441,8.457,0.944,12.083,8.944,1.353,0.739,0.921,1
855,96,37.799,15.12,8.084,0.844,15.297,8.0,1.87,0.535,0.923,1
856,100,38.042,14.844,8.578,0.868,15.524,9.0,1.73,0.578,0.917,1
857,97,36.042,14.34,8.612,0.938,15.0,9.192,1.665,0.601,0.928,1
858,97,36.627,13.835,8.927,0.909,14.318,9.707,1.55,0.645,0.915,1
859,65,28.385,10.337,8.006,1.0,10.77,8.0,1.291,0.774,0.922,1
860,93,40.042,15.825,7.482,0.729,15.811,8.0,2.115,0.473,0.886,0
861,105,37.698,14.267,9.37,0.928,14.765,9.899,1.523,0.657,0.909,1
862,51,25.213,8.865,7.325,1.0,9.487,7.778,1.21,0.826,0.887,1
863,100,37.799,14.377,8.856,0.88,14.866,9.0,1.623,0.616,0.926,1
864,102,38.385,15.357,8.457,0.87,15.524,8.0,1.816,0.551,0.949,1
865,61,28.385,10.027,7.746,0.951,10.77,8.0,1.294,0.773,0.91,1
866,97,36.042,13.222,9.34,0.938,13.892,9.899,1.416,0.706,0.924,1
867,66,29.213,11.572,7.262,0.972,12.207,7.778,1.594,0.628,0.917,1
868,99,37.799,14.585,8.642,0.871,14.866,9.0,1.688,0.593,0.917,1
869,95,37.213,14.908,8.113,0.862,15.524,8.0,1.837,0.544,0.931,1
870,99,38.627,14.831,8.499,0.834,15.232,9.099,1.745,0.573,0.9,1
871,92,35.456,13.535,8.655,0.92,13.928,9.391,1.564,0.639,0.906,1
872,104,38.87,14.725,8.993,0.865,15.297,9.459,1.637,0.611,0.893,1
873,111,39.456,15.13,9.341,0.896,15.811,10.0,1.62,0.617,0.925,1
874,101,37.799,15.502,8.296,0.888,15.524,8.0,1.869,0.535,0.94,1
875,97,38.284,14.875,8.303,0.832,15.0,8.913,1.791,0.558,0.882,1
876,84,33.799,12.058,8.87,0.924,12.649,9.0,1.359,0.736,0.913,1
877,100,36.87,13.809,9.22,0.924,14.318,9.899,1.498,0.668,0.905,1
878,98,35.799,12.66,9.856,0.961,13.601,10.733,1.285,0.778,0.933,1
879,145,43.698,14.22,12.983,0.954,15.264,13.435,1.095,0.913,0.918,1
880,94,36.042,14.622,8.185,0.909,15.264,9.153,1.786,0.56,0.926,1
881,72,30.971,11.63,7.882,0.943,12.083,8.0,1.475,0.678,0.929,1
882,117,42.527,17.264,8.629,0.813,17.493,9.707,2.001,0.5,0.88,1
883,482,80.669,24.925,24.622,0.931,26.401,25.0,1.012,0.988,0.946,0
884,60,27.799,10.015,7.628,0.976,10.77,8.0,1.313,0.762,0.909,1
885,103,38.284,15.04,8.719,0.883,15.811,9.192,1.725,0.58,0.904,1
886,50,27.556,11.47,5.55,0.827,11.705,6.0,2.066,0.484,0.901,1
887,93,40.627,16.944,6.988,0.708,17.088,8.0,2.425,0.412,0.882,1
888,50,28.627,11.833,5.38,0.767,12.083,6.102,2.199,0.455,0.84,1
889,125,50.527,18.822,8.456,0.615,19.925,10.0,2.226,0.449,0.822,0
890,176,67.355,22.368,10.018,0.488,26.476,11.706,2.233,0.448,0.767,0
891,129,42.627,15.728,10.443,0.892,17.0,11.0,1.506,0.664,0.938,1
892,83,32.385,11.222,9.417,0.995,11.705,9.0,1.192,0.839,0.943,1
893,97,37.213,14.319,8.625,0.88,14.866,9.0,1.66,0.602,0.924,1
894,112,42.627,17.514,8.142,0.775,17.72,8.549,2.151,0.465,0.9,1
896,93,36.385,14.971,7.909,0.883,15.232,8.0,1.893,0.528,0.939,1
