,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,class
3852,184,82.326,26.251,8.924,0.341,33.734,12.758,2.942,0.34,0.607,1
6051,212,108.61,40.829,6.611,0.226,49.406,11.709,6.176,0.162,0.523,1
5787,178,75.355,26.352,8.6,0.394,30.887,11.696,3.064,0.326,0.641,1
3130,126,51.698,18.518,8.663,0.592,20.881,11.0,2.137,0.468,0.8,1
4622,196,84.083,30.238,8.253,0.348,34.366,11.981,3.664,0.273,0.654,1
384,174,59.941,21.872,10.129,0.609,24.207,12.27,2.159,0.463,0.798,1
7959,90,34.627,13.299,8.616,0.943,13.928,9.0,1.543,0.648,0.918,0
2828,128,40.627,14.373,11.339,0.974,15.232,11.0,1.268,0.789,0.941,0
4711,164,64.669,25.582,8.163,0.493,28.601,11.276,3.134,0.319,0.752,1
6714,205,87.154,29.58,8.824,0.339,32.016,12.881,3.352,0.298,0.593,1
923,106,39.213,15.098,8.939,0.866,15.524,9.0,1.689,0.592,0.926,0
8769,298,81.598,35.434,10.708,0.562,34.205,12.612,3.309,0.302,0.847,-1
3462,196,85.983,32.688,7.635,0.333,36.235,12.806,4.282,0.234,0.587,1
5936,153,61.255,24.86,7.836,0.512,26.249,9.899,3.172,0.315,0.771,1
8395,101,39.456,15.774,8.153,0.815,16.125,8.913,1.935,0.517,0.898,0
214,90,35.556,13.693,8.369,0.895,13.928,8.0,1.636,0.611,0.942,0
9265,121,41.698,15.714,9.804,0.874,16.553,10.633,1.603,0.624,0.896,0
5005,143,53.598,20.224,9.003,0.626,21.587,10.864,2.246,0.445,0.841,-1
7783,130,42.284,15.528,10.66,0.914,16.279,11.0,1.457,0.686,0.912,0
1233,136,44.77,14.727,11.758,0.853,16.279,12.728,1.252,0.798,0.892,0
8243,90,34.042,12.839,8.925,0.976,13.416,9.701,1.439,0.695,0.918,0
9651,151,47.113,17.164,11.201,0.855,17.493,12.728,1.532,0.653,0.878,0
5625,95,35.456,13.488,8.968,0.95,14.213,9.192,1.504,0.665,0.922,0
5993,185,75.74,28.739,8.196,0.405,31.241,11.789,3.506,0.285,0.668,1
8819,128,42.527,16.277,10.012,0.889,16.643,10.607,1.626,0.615,0.908,0
10069,99,36.627,12.902,9.77,0.927,13.601,10.0,1.321,0.757,0.917,0
4783,75,31.799,10.869,8.786,0.932,11.662,9.656,1.237,0.808,0.898,0
6996,195,75.598,25.653,9.678,0.429,29.833,13.753,2.651,0.377,0.685,1
