,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,class
9880,124,46.284,16.067,9.826,0.727,18.358,11.063,1.635,0.612,0.849,0
3474,232,97.983,36.523,8.088,0.304,39.051,11.628,4.516,0.221,0.619,1
408,127,42.284,15.865,10.192,0.893,16.401,10.607,1.557,0.642,0.924,0
868,95,37.213,14.908,8.113,0.862,15.524,8.0,1.837,0.544,0.931,0
9608,64,28.385,9.305,8.757,0.998,10.296,9.0,1.063,0.941,0.908,0
2934,220,103.154,32.324,8.666,0.26,39.395,13.617,3.73,0.268,0.481,1
390,187,77.012,27.898,8.534,0.396,31.016,11.217,3.269,0.306,0.652,1
9894,120,47.113,18.455,8.279,0.679,19.723,8.944,2.229,0.449,0.863,1
2332,109,37.799,13.297,10.437,0.959,13.928,10.0,1.274,0.785,0.944,0
2304,119,41.456,15.219,9.956,0.87,15.811,10.791,1.529,0.654,0.908,0
1368,90,34.627,12.99,8.821,0.943,13.601,9.192,1.473,0.679,0.928,0
3718,215,74.912,25.427,10.766,0.481,27.203,13.455,2.362,0.423,0.7,1
4981,143,57.012,21.336,8.534,0.553,23.601,10.915,2.5,0.4,0.784,1
372,394,142.752,50.36,9.961,0.243,56.08,17.278,5.055,0.198,0.52,-1
9496,177,65.598,25.303,8.906,0.517,26.926,12.075,2.841,0.352,0.738,1
6875,92,35.799,12.406,9.442,0.902,13.416,10.0,1.314,0.761,0.911,0
2907,94,34.87,12.293,9.736,0.971,13.0,10.286,1.263,0.792,0.904,0
3689,418,155.823,27.07,19.661,0.216,38.639,28.836,1.377,0.726,0.527,-1
9930,222,102.569,32.218,8.773,0.265,38.601,13.37,3.672,0.272,0.601,1
4666,233,95.296,28.306,10.48,0.322,34.713,15.454,2.701,0.37,0.553,1
9798,206,101.296,39.285,6.677,0.252,44.407,11.356,5.884,0.17,0.56,1
3414,194,90.912,33.736,7.322,0.295,36.77,11.44,4.608,0.217,0.575,1
6493,233,89.154,25.531,11.62,0.368,34.54,17.053,2.197,0.455,0.596,-1
6902,160,63.012,24.653,8.263,0.506,26.926,11.749,2.984,0.335,0.727,1
7830,234,100.912,33.285,8.951,0.289,40.311,14.4,3.719,0.269,0.555,1
8784,143,48.284,18.456,9.865,0.771,19.235,10.686,1.871,0.535,0.885,0
2776,251,101.196,38.796,8.238,0.308,42.012,12.021,4.71,0.212,0.624,1
1441,146,46.042,17.902,10.384,0.865,18.385,10.889,1.724,0.58,0.93,0
8890,119,40.042,14.076,10.764,0.933,14.765,11.0,1.308,0.765,0.93,0
4498,147,62.669,24.521,7.633,0.47,26.627,10.607,3.213,0.311,0.731,1
600,93,37.456,14.735,8.036,0.833,15.264,8.875,1.834,0.545,0.894,0
7280,201,86.326,25.442,10.059,0.339,31.305,14.724,2.529,0.395,0.553,1
6977,232,87.154,25.358,11.649,0.384,29.614,15.62,2.177,0.459,0.652,1
6285,210,84.326,31.734,8.426,0.371,34.059,12.413,3.766,0.266,0.627,1
7181,209,87.012,31.835,8.359,0.347,37.363,12.48,3.808,0.263,0.671,1
4253,112,40.042,15.331,9.302,0.878,16.155,10.0,1.648,0.607,0.922,0
4284,154,64.77,25.533,7.679,0.461,27.857,10.59,3.325,0.301,0.737,1
4477,160,61.841,23.723,8.587,0.526,26.249,11.314,2.763,0.362,0.773,1
2885,130,59.012,21.593,7.665,0.469,24.698,10.543,2.817,0.355,0.734,1
2341,263,119.64,38.494,8.699,0.231,47.17,14.706,4.425,0.226,0.485,1
572,136,44.284,16.676,10.384,0.871,17.464,11.628,1.606,0.623,0.898,0
4572,166,66.083,26.263,8.048,0.478,28.653,10.75,3.263,0.306,0.779,1
6079,126,49.113,17.671,9.079,0.656,20.248,10.694,1.946,0.514,0.837,1
650,217,66.77,28.281,9.77,0.612,27.893,11.275,2.895,0.345,0.844,-1
4510,372,80.083,27.501,17.223,0.729,27.893,19.32,1.597,0.626,0.87,-1
3723,206,93.296,27.481,9.544,0.297,33.287,14.588,2.879,0.347,0.517,1
6064,219,100.225,37.896,7.358,0.274,43.417,11.18,5.15,0.194,0.565,1
7771,116,39.456,14.461,10.213,0.936,15.264,10.956,1.416,0.706,0.917,0
5253,218,93.983,32.121,8.641,0.31,34.366,14.27,3.717,0.269,0.562,1
2496,180,80.669,31.706,7.228,0.348,33.242,10.572,4.386,0.228,0.653,1
9610,206,77.74,32.919,7.968,0.428,32.696,10.591,4.132,0.242,0.698,1
883,60,27.799,10.015,7.628,0.976,10.77,8.0,1.313,0.762,0.909,0
4027,110,37.456,13.456,10.408,0.985,14.318,11.0,1.293,0.773,0.928,0
5318,104,38.87,14.26,9.286,0.865,15.0,9.899,1.536,0.651,0.897,0
3000,183,82.669,28.95,8.049,0.336,30.594,12.0,3.597,0.278,0.607,1
3589,221,86.811,32.951,8.54,0.369,36.125,13.188,3.859,0.259,0.662,1
899,98,37.456,15.073,8.278,0.878,15.652,8.944,1.821,0.549,0.916,0
10254,80,31.799,10.943,9.308,0.994,11.662,9.899,1.176,0.851,0.93,0
3137,214,104.368,40.589,6.713,0.247,43.417,10.45,6.046,0.165,0.551,1
8977,100,36.385,13.508,9.426,0.949,13.928,9.0,1.433,0.698,0.948,0
3064,113,45.698,15.888,9.056,0.68,18.385,10.124,1.755,0.57,0.816,1
4090,147,46.042,16.637,11.25,0.871,17.263,11.0,1.479,0.676,0.925,0
5500,91,35.213,13.022,8.897,0.922,13.892,9.839,1.464,0.683,0.929,0
2144,86,34.042,12.776,8.571,0.933,13.342,9.0,1.491,0.671,0.905,0
1993,119,40.87,15.197,9.97,0.895,15.811,10.733,1.524,0.656,0.922,0
6517,132,51.698,19.367,8.678,0.621,22.136,9.446,2.232,0.448,0.86,0
9919,162,63.012,25.111,8.214,0.513,27.295,10.421,3.057,0.327,0.773,1
2659,199,103.296,34.287,7.39,0.234,40.447,13.646,4.64,0.216,0.465,1
9168,120,40.042,14.965,10.21,0.941,15.652,11.0,1.466,0.682,0.938,0
9184,120,39.456,14.268,10.709,0.969,14.866,11.0,1.332,0.751,0.93,0
7005,196,83.255,26.432,9.441,0.355,30.676,14.31,2.8,0.357,0.602,1
8772,113,38.87,14.804,9.719,0.94,15.264,10.4,1.523,0.656,0.919,0
9854,64,28.627,9.151,8.905,0.981,10.198,9.0,1.028,0.973,0.901,0
5808,330,122.711,26.677,15.75,0.275,41.231,25.811,1.694,0.59,0.502,-1
9752,298,136.51,42.508,8.926,0.201,56.515,17.312,4.762,0.21,0.495,1
5224,205,91.64,35.329,7.388,0.307,38.275,11.717,4.782,0.209,0.609,1
6643,131,43.113,17.068,9.773,0.886,17.464,10.461,1.746,0.573,0.913,0
4170,110,39.456,14.161,9.89,0.888,15.0,10.607,1.432,0.698,0.905,0
138,143,55.113,20.411,8.92,0.592,21.587,10.577,2.288,0.437,0.786,1
8845,145,44.284,16.229,11.376,0.929,17.088,12.0,1.427,0.701,0.927,0
1610,217,97.154,34.98,7.899,0.289,41.437,11.837,4.429,0.226,0.582,1
1618,195,70.669,26.633,9.322,0.491,29.411,12.494,2.857,0.35,0.722,1
3022,239,89.64,29.673,10.255,0.374,34.176,16.408,2.893,0.346,0.612,1
4837,169,69.497,28.268,7.612,0.44,30.232,9.899,3.714,0.269,0.746,1
10558,84,33.213,12.403,8.623,0.957,13.038,9.0,1.438,0.695,0.923,0
977,114,41.456,16.629,8.729,0.834,17.088,9.487,1.905,0.525,0.905,0
4102,117,38.627,14.418,10.332,0.985,14.866,10.0,1.395,0.717,0.947,0
8551,113,38.627,14.798,9.723,0.952,15.652,10.0,1.522,0.657,0.942,0
1359,98,36.042,13.63,9.154,0.948,14.422,9.899,1.489,0.672,0.92,0
10411,90,34.627,13.055,8.777,0.943,13.892,9.192,1.487,0.672,0.933,0
271,127,53.113,16.187,9.989,0.566,20.591,11.839,1.62,0.617,0.745,0
4294,195,82.184,32.789,7.572,0.363,35.128,10.0,4.33,0.231,0.724,1
7646,229,120.368,40.245,7.245,0.199,49.396,13.035,5.555,0.18,0.464,1
1488,91,33.799,11.459,10.111,1.0,12.207,10.0,1.133,0.882,0.943,0
9266,114,41.799,16.755,8.663,0.82,16.763,9.0,1.934,0.517,0.919,0
2596,134,41.456,14.526,11.745,0.98,15.264,12.0,1.237,0.809,0.937,0
4604,173,66.527,27.387,8.043,0.491,28.443,10.0,3.405,0.294,0.795,1
6263,244,103.154,34.891,8.904,0.288,41.593,13.511,3.919,0.255,0.551,1
212,177,74.669,29.455,7.651,0.399,31.78,10.119,3.85,0.26,0.69,1
6722,260,119.154,30.83,10.738,0.23,40.522,22.141,2.871,0.348,0.441,1
8503,131,44.042,16.712,9.981,0.849,17.088,10.672,1.674,0.597,0.913,0
6706,231,96.912,37.701,7.801,0.309,40.025,11.264,4.833,0.207,0.634,1
1046,111,41.213,15.622,9.047,0.821,16.553,9.459,1.727,0.579,0.902,0
6891,197,84.912,31.815,7.884,0.343,35.114,12.333,4.035,0.248,0.61,1
9934,118,41.113,15.158,9.912,0.877,15.811,10.607,1.529,0.654,0.908,0
534,195,79.012,30.851,8.048,0.393,30.463,10.027,3.834,0.261,0.724,1
168,199,84.326,31.198,8.121,0.352,33.956,11.884,3.841,0.26,0.615,1
3151,113,38.87,14.612,9.846,0.94,15.264,10.539,1.484,0.674,0.919,0
5311,116,40.284,14.571,10.136,0.898,15.264,10.733,1.437,0.696,0.899,0
6813,213,91.255,29.076,9.327,0.321,36.674,15.169,3.117,0.321,0.581,1
785,125,51.941,20.21,7.875,0.582,21.26,9.737,2.566,0.39,0.786,1
2725,186,105.983,38.774,6.108,0.208,45.222,9.944,6.348,0.158,0.554,1
8949,101,36.627,13.372,9.617,0.946,14.422,10.607,1.39,0.719,0.922,0
7741,155,66.326,27.226,7.249,0.443,28.844,10.219,3.756,0.266,0.723,1
1781,119,40.87,16.116,9.402,0.895,16.643,9.899,1.714,0.583,0.93,0
8748,219,64.527,26.957,10.344,0.661,26.249,11.538,2.606,0.384,0.887,-1
6620,183,53.698,17.335,13.441,0.798,19.799,14.0,1.29,0.775,0.915,0
8232,157,55.456,23.83,8.389,0.642,22.804,9.154,2.841,0.352,0.867,-1
8104,170,49.113,17.389,12.448,0.886,18.788,13.0,1.397,0.716,0.919,0
4153,194,75.497,29.919,8.256,0.428,31.828,11.228,3.624,0.276,0.703,1
1180,99,37.556,14.861,8.482,0.882,14.866,8.0,1.752,0.571,0.952,0
2524,109,39.213,15.241,9.106,0.891,15.811,9.0,1.674,0.597,0.936,0
3476,204,86.811,33.946,7.652,0.34,34.713,11.041,4.436,0.225,0.588,1
7749,195,86.912,35.258,7.042,0.324,38.013,10.882,5.007,0.2,0.664,1
848,99,37.799,14.926,8.445,0.871,15.232,9.0,1.767,0.566,0.925,0
2577,257,115.397,31.692,10.325,0.243,39.825,19.444,3.07,0.326,0.494,1
10163,189,63.841,24.308,9.9,0.583,26.077,11.744,2.455,0.407,0.803,1
9888,87,36.284,13.828,8.011,0.83,14.56,8.575,1.726,0.579,0.866,0
3762,152,72.184,24.48,7.906,0.367,28.16,11.48,3.097,0.323,0.594,1
3142,94,80.77,18.596,6.436,0.181,30.364,13.53,2.889,0.346,0.372,-1
4059,130,41.456,14.793,11.189,0.951,15.811,12.021,1.322,0.756,0.929,0
10372,58,33.456,12.49,5.912,0.651,13.038,7.042,2.113,0.473,0.784,0
5572,205,91.983,32.39,8.059,0.304,38.013,12.182,4.019,0.249,0.577,1
5355,127,49.355,16.808,9.621,0.655,19.209,11.169,1.747,0.572,0.814,1
7818,167,79.497,32.826,6.478,0.332,34.438,10.162,5.068,0.197,0.645,1
9611,160,69.255,25.897,7.866,0.419,27.313,11.112,3.292,0.304,0.646,1
5671,180,82.083,31.092,7.371,0.336,33.838,11.015,4.218,0.237,0.612,1
2313,119,40.042,15.272,9.921,0.933,15.524,10.0,1.539,0.65,0.926,0
6580,51,43.113,11.562,5.616,0.345,16.401,9.05,2.059,0.486,0.548,-1
3228,197,89.255,30.652,8.183,0.311,37.0,12.297,3.746,0.267,0.585,1
3770,210,96.326,29.881,8.948,0.284,37.736,14.084,3.339,0.299,0.54,1
5195,219,102.326,26.303,10.601,0.263,34.366,17.409,2.481,0.403,0.525,-1
9703,114,39.213,14.59,9.949,0.932,15.232,10.0,1.467,0.682,0.938,0
8512,153,48.284,19.04,10.232,0.825,19.313,11.18,1.861,0.537,0.913,0
8785,103,46.284,14.692,8.926,0.604,16.553,10.786,1.646,0.608,0.777,-1
8425,110,39.456,15.399,9.095,0.888,16.125,9.899,1.693,0.591,0.928,0
7049,196,86.083,28.658,8.708,0.332,34.366,12.823,3.291,0.304,0.616,1
6915,226,91.983,38.968,7.384,0.336,40.706,10.286,5.277,0.189,0.69,1
4047,144,44.627,16.909,10.843,0.909,17.464,11.0,1.56,0.641,0.935,0
10125,141,49.698,18.546,9.68,0.717,20.591,11.015,1.916,0.522,0.839,0
7464,213,106.225,31.497,8.61,0.237,42.72,13.587,3.658,0.273,0.469,1
9188,126,41.456,15.907,10.085,0.921,16.279,10.0,1.577,0.634,0.933,0
1248,191,58.87,23.268,10.452,0.693,24.331,11.0,2.226,0.449,0.878,1
3777,215,81.74,34.456,7.945,0.404,33.615,11.18,4.337,0.231,0.68,1
9492,157,65.841,25.51,7.836,0.455,26.401,10.875,3.255,0.307,0.687,1
4964,157,71.154,25.844,7.735,0.39,28.425,10.607,3.341,0.299,0.662,1
2543,304,135.095,34.49,11.222,0.209,46.755,19.402,3.073,0.325,0.395,1
4525,120,40.284,14.03,10.89,0.929,15.232,11.314,1.288,0.776,0.92,0
7963,82,32.627,12.261,8.515,0.968,13.0,9.0,1.44,0.694,0.916,0
7160,167,66.669,26.172,8.124,0.472,27.313,10.805,3.221,0.31,0.723,1
7703,158,72.426,28.706,7.008,0.379,30.083,10.577,4.096,0.244,0.65,1
7522,100,36.87,13.794,9.23,0.924,14.422,9.899,1.495,0.669,0.905,0
4185,382,147.924,36.325,13.389,0.219,48.374,22.539,2.713,0.369,0.521,-1
4937,273,102.368,41.529,8.37,0.327,43.417,11.455,4.962,0.202,0.645,1
2168,87,34.627,12.357,8.964,0.912,13.038,9.707,1.378,0.725,0.902,0
553,103,38.87,15.474,8.475,0.857,15.811,9.192,1.826,0.548,0.907,0
6376,471,187.823,60.912,9.845,0.168,78.772,15.787,6.187,0.162,0.551,-1
6675,246,113.054,43.944,7.128,0.242,47.76,11.918,6.165,0.162,0.622,1
2429,272,132.024,44.873,7.718,0.196,57.428,12.8,5.814,0.172,0.484,1
3613,97,36.627,13.439,9.19,0.909,14.318,9.839,1.462,0.684,0.919,0
8186,212,96.669,39.055,6.911,0.285,41.593,11.426,5.651,0.177,0.575,1
896,87,36.627,14.0,7.912,0.815,14.318,8.222,1.769,0.565,0.883,0
5881,171,77.841,28.019,7.771,0.355,32.202,11.18,3.606,0.277,0.624,1
6703,190,74.184,29.276,8.263,0.434,31.78,11.18,3.543,0.282,0.729,1
7992,98,36.87,13.858,9.004,0.906,14.422,9.192,1.539,0.65,0.912,0
6491,196,77.497,26.499,9.418,0.41,28.862,12.623,2.814,0.355,0.645,1
10369,69,30.142,11.708,7.504,0.954,12.083,7.0,1.56,0.641,0.958,0
580,105,40.284,16.597,8.055,0.813,17.0,8.8,2.06,0.485,0.905,0
9480,103,38.042,14.17,9.255,0.894,14.765,10.119,1.531,0.653,0.912,0
5800,194,77.255,28.245,8.745,0.408,30.414,11.0,3.23,0.31,0.683,1
3767,206,82.569,29.896,8.773,0.38,32.558,12.742,3.408,0.293,0.648,1
10004,138,58.284,22.731,7.73,0.51,24.739,9.0,2.941,0.34,0.836,1
4198,191,80.426,31.668,7.679,0.371,33.242,10.84,4.124,0.243,0.696,1
3585,259,112.024,41.968,7.858,0.259,44.385,12.62,5.341,0.187,0.55,1
4182,114,39.456,14.172,10.242,0.92,15.0,10.607,1.384,0.723,0.923,0
8928,83,39.456,14.796,7.142,0.67,16.553,8.798,2.072,0.483,0.814,0
1025,114,42.627,16.935,8.571,0.788,17.088,9.203,1.976,0.506,0.891,0
1998,122,41.799,16.726,9.287,0.877,16.763,9.0,1.801,0.555,0.946,0
4270,161,68.912,28.105,7.294,0.426,30.0,10.607,3.853,0.26,0.695,1
1322,294,79.74,28.21,13.269,0.581,29.069,16.413,2.126,0.47,0.808,-1
1483,125,41.456,15.186,10.48,0.914,15.811,11.068,1.449,0.69,0.919,0
10326,63,27.799,9.929,8.079,1.0,10.44,8.0,1.229,0.814,0.92,0
1343,222,74.184,26.608,10.623,0.507,28.443,13.0,2.505,0.399,0.758,1
6966,184,78.326,27.002,8.676,0.377,29.53,12.686,3.112,0.321,0.649,1
6811,248,98.468,34.206,9.231,0.321,38.288,13.358,3.706,0.27,0.627,1
4347,149,58.426,21.642,8.766,0.549,23.707,11.821,2.469,0.405,0.77,1
4687,336,117.64,30.529,14.013,0.305,40.0,21.785,2.179,0.459,0.58,-1
7026,199,84.426,32.55,7.784,0.351,35.511,10.473,4.182,0.239,0.687,1
8093,166,59.841,27.032,7.819,0.583,26.077,8.848,3.457,0.289,0.838,-1
3732,176,72.426,27.01,8.297,0.422,29.614,11.0,3.256,0.307,0.708,1
9016,106,38.385,14.492,9.313,0.904,14.56,9.0,1.556,0.643,0.938,0
8167,87,33.799,12.501,8.861,0.957,13.038,9.0,1.411,0.709,0.926,0
4265,203,74.912,30.951,8.351,0.455,32.249,11.276,3.706,0.27,0.781,1
1355,65,28.971,9.777,8.465,0.973,10.44,8.0,1.155,0.866,0.922,0
4202,356,92.468,33.393,13.574,0.523,33.601,16.184,2.46,0.406,0.766,-1
6944,81,48.87,16.323,6.318,0.426,19.698,8.542,2.584,0.387,0.686,-1
1904,200,75.255,30.751,8.281,0.444,32.65,11.0,3.713,0.269,0.768,1
2973,156,51.698,16.095,12.341,0.733,18.358,13.0,1.304,0.767,0.867,-1
10100,150,73.255,27.883,6.85,0.351,30.871,9.842,4.071,0.246,0.641,1
9581,183,90.811,30.406,7.663,0.279,36.235,11.64,3.968,0.252,0.529,1
3561,207,94.811,38.59,6.83,0.289,41.183,10.262,5.65,0.177,0.688,1
10258,80,32.627,12.474,8.166,0.944,13.416,8.944,1.528,0.655,0.914,0
4832,346,128.811,48.804,9.027,0.262,54.083,13.0,5.407,0.185,0.625,-1
1069,110,40.042,16.052,8.725,0.862,16.553,9.391,1.84,0.544,0.921,0
9280,204,85.154,27.499,9.445,0.354,30.676,15.205,2.911,0.343,0.608,1
3397,259,81.497,28.964,11.386,0.49,31.145,14.135,2.544,0.393,0.747,1
10212,105,38.042,14.934,8.952,0.912,15.524,9.0,1.668,0.599,0.925,0
4541,115,39.213,13.831,10.586,0.94,14.765,11.0,1.307,0.765,0.935,0
818,113,38.627,14.515,9.912,0.952,15.232,10.0,1.464,0.683,0.946,0
5137,186,82.811,30.366,7.799,0.341,33.287,11.906,3.894,0.257,0.596,1
1250,123,48.527,17.93,8.734,0.656,20.248,9.899,2.053,0.487,0.84,0
3127,206,100.811,32.587,8.049,0.255,39.051,12.003,4.049,0.247,0.495,1
9945,51,24.971,8.112,8.005,1.0,8.944,8.0,1.013,0.987,0.927,0
2733,126,41.799,15.073,10.643,0.906,16.401,11.926,1.416,0.706,0.937,0
8405,110,39.456,15.572,8.994,0.888,16.155,9.944,1.731,0.578,0.913,0
5878,180,66.669,27.555,8.317,0.509,27.785,10.739,3.313,0.302,0.769,1
398,180,61.841,22.839,10.035,0.591,23.707,12.223,2.276,0.439,0.798,1
1297,178,72.426,24.825,9.129,0.426,29.155,13.393,2.719,0.368,0.656,1
5563,174,66.527,26.572,8.337,0.494,26.926,11.275,3.187,0.314,0.742,1
1269,195,70.669,27.446,9.046,0.491,29.53,11.18,3.034,0.33,0.777,1
2338,197,83.154,29.426,8.524,0.358,34.54,12.642,3.452,0.29,0.621,1
7722,167,71.941,29.394,7.234,0.405,31.257,9.0,4.063,0.246,0.742,1
10138,199,103.054,23.899,10.602,0.235,28.862,18.103,2.254,0.444,0.513,1
7867,57,27.799,9.462,7.67,0.927,10.77,8.0,1.234,0.811,0.877,0
6255,191,86.669,30.182,8.057,0.32,32.757,11.524,3.746,0.267,0.574,1
8191,244,111.397,34.958,8.887,0.247,45.607,13.806,3.934,0.254,0.53,1
5389,195,75.255,26.659,9.313,0.433,27.313,12.127,2.862,0.349,0.679,1
7928,126,42.627,16.67,9.624,0.871,17.088,10.0,1.732,0.577,0.926,0
268,150,63.012,24.214,7.887,0.475,25.298,10.117,3.07,0.326,0.744,1
2853,102,36.627,13.901,9.342,0.955,14.318,9.0,1.488,0.672,0.936,0
2633,131,42.87,13.865,12.03,0.896,15.0,12.659,1.153,0.868,0.894,0
4843,194,74.669,28.411,8.694,0.437,31.048,11.424,3.268,0.306,0.733,1
7320,158,69.74,27.612,7.286,0.408,28.018,10.227,3.79,0.264,0.687,1
8696,127,42.284,15.372,10.519,0.893,16.125,11.0,1.461,0.684,0.91,0
5066,133,42.284,14.914,11.355,0.935,15.652,11.963,1.313,0.761,0.914,0
2916,204,85.74,30.421,8.538,0.349,32.696,12.242,3.563,0.281,0.687,1
475,101,38.87,15.537,8.277,0.84,15.811,9.0,1.877,0.533,0.902,0
1769,140,44.284,16.061,11.099,0.897,16.643,11.8,1.447,0.691,0.915,0
4206,293,99.296,40.694,9.167,0.373,40.719,12.962,4.439,0.225,0.65,-1
6399,200,88.569,32.498,7.836,0.32,37.537,10.738,4.147,0.241,0.632,1
4313,187,72.184,28.114,8.469,0.451,29.428,10.934,3.32,0.301,0.736,1
7665,204,87.497,29.661,8.757,0.335,33.615,13.523,3.387,0.295,0.562,1
3509,228,100.711,40.595,7.151,0.282,45.343,10.119,5.677,0.176,0.65,1
1855,121,40.284,14.783,10.421,0.937,15.264,11.094,1.419,0.705,0.92,0
6029,243,99.054,38.406,8.056,0.311,41.677,10.859,4.767,0.21,0.664,1
9127,118,40.87,14.907,10.079,0.888,15.652,10.733,1.479,0.676,0.908,0
1470,72,30.385,10.15,9.032,0.98,10.817,9.0,1.124,0.89,0.923,0
4075,118,38.87,13.865,10.836,0.981,14.765,11.314,1.28,0.782,0.929,0
3179,218,92.569,30.886,8.987,0.32,34.713,13.514,3.437,0.291,0.545,1
10544,73,31.213,12.095,7.684,0.942,12.806,8.485,1.574,0.635,0.907,0
9120,127,42.87,15.957,10.133,0.868,16.401,10.733,1.575,0.635,0.914,0
8682,177,53.213,21.794,10.34,0.785,21.587,10.0,2.108,0.474,0.944,0
245,156,55.941,20.171,9.847,0.626,21.213,11.0,2.049,0.488,0.83,1
1649,105,38.042,14.685,9.104,0.912,15.264,9.944,1.613,0.62,0.921,0
2515,114,39.456,14.722,9.859,0.92,15.264,10.6,1.493,0.67,0.923,0
318,256,110.468,26.424,12.335,0.264,36.797,19.28,2.142,0.467,0.541,1
4243,203,76.77,31.525,8.199,0.433,31.78,10.0,3.845,0.26,0.76,1
6004,315,127.782,28.333,14.156,0.242,42.059,23.071,2.001,0.5,0.432,-1
8722,206,53.113,18.298,14.334,0.918,19.416,15.108,1.277,0.783,0.926,0
2012,96,36.627,13.039,9.374,0.899,13.928,10.0,1.391,0.719,0.906,0
3934,252,114.853,25.352,12.656,0.24,33.838,20.0,2.003,0.499,0.528,1
1926,216,91.497,35.484,7.751,0.324,39.925,11.287,4.578,0.218,0.693,1
7590,103,39.698,13.047,10.051,0.821,14.318,11.0,1.298,0.77,0.904,0
8646,118,41.698,15.871,9.466,0.853,16.763,10.213,1.677,0.596,0.901,0
1425,95,35.213,12.395,9.758,0.963,13.0,10.0,1.27,0.787,0.922,0
6230,456,184.309,49.383,11.757,0.169,74.411,20.082,4.2,0.238,0.441,-1
2830,119,40.87,14.503,10.447,0.895,15.297,11.0,1.388,0.72,0.902,0
3776,151,64.184,23.477,8.189,0.461,25.08,11.176,2.867,0.349,0.693,1
7205,226,109.397,39.581,7.27,0.237,46.819,11.468,5.444,0.184,0.529,1
8190,227,109.054,38.124,7.581,0.24,45.453,12.936,5.029,0.199,0.489,1
9250,123,42.87,15.91,9.843,0.841,16.763,10.429,1.616,0.619,0.901,0
7742,115,38.87,14.37,10.19,0.956,15.0,10.607,1.41,0.709,0.927,0
5963,239,101.154,31.047,9.801,0.294,37.656,16.347,3.168,0.316,0.567,1
7324,160,70.184,25.869,7.875,0.408,29.547,11.445,3.285,0.304,0.661,1
2105,83,32.971,12.484,8.465,0.959,12.649,8.0,1.475,0.678,0.949,0
6031,143,48.87,18.527,9.828,0.752,19.416,10.0,1.885,0.53,0.891,0
274,148,52.284,20.193,9.332,0.68,21.378,10.0,2.164,0.462,0.878,0
7620,354,132.024,26.112,17.261,0.255,35.468,25.626,1.513,0.661,0.555,-1
743,107,40.527,16.646,8.184,0.819,16.643,8.485,2.034,0.492,0.899,0
3699,254,97.397,37.353,8.658,0.336,40.497,12.021,4.314,0.232,0.624,1
8380,111,40.042,15.288,9.245,0.87,16.125,10.119,1.654,0.605,0.914,0
3410,221,101.64,36.85,7.636,0.269,40.162,11.813,4.826,0.207,0.53,1
4610,68,28.971,9.433,9.179,1.0,10.296,9.0,1.028,0.973,0.938,0
8840,129,45.456,18.406,8.924,0.785,18.868,9.839,2.063,0.485,0.912,0
1392,103,36.627,12.921,10.15,0.965,13.892,10.607,1.273,0.786,0.936,0
4883,179,77.983,31.413,7.255,0.37,33.287,10.974,4.33,0.231,0.643,1
8081,92,36.87,14.605,8.021,0.85,15.264,8.485,1.821,0.549,0.906,0
10563,93,35.799,13.743,8.616,0.912,14.318,9.0,1.595,0.627,0.935,0
9756,217,102.125,25.113,11.002,0.261,31.906,18.331,2.283,0.438,0.519,1
765,157,65.154,27.8,7.191,0.465,28.601,9.527,3.866,0.259,0.749,1
2899,185,79.255,29.091,8.097,0.37,32.016,10.964,3.593,0.278,0.654,1
7329,193,81.397,29.541,8.318,0.366,33.015,12.447,3.551,0.282,0.649,1
8569,195,57.841,22.861,10.86,0.732,23.022,11.8,2.105,0.475,0.876,0
2591,182,78.669,28.875,8.025,0.37,30.083,10.399,3.598,0.278,0.642,1
9373,198,84.912,30.505,8.264,0.345,32.894,12.395,3.691,0.271,0.573,1
5540,103,37.456,13.713,9.564,0.923,14.422,9.899,1.434,0.697,0.916,0
4289,253,93.497,36.545,8.815,0.364,38.328,11.958,4.146,0.241,0.684,1
832,112,40.527,16.404,8.693,0.857,16.643,9.192,1.887,0.53,0.903,0
3715,197,82.669,29.817,8.412,0.362,32.696,10.778,3.544,0.282,0.649,1
8135,97,36.627,13.86,8.911,0.909,14.318,9.0,1.555,0.643,0.919,0
9107,135,43.941,15.012,11.45,0.879,15.652,12.021,1.311,0.763,0.891,0
2251,153,66.284,27.463,7.093,0.438,28.443,9.102,3.872,0.258,0.736,1
3834,200,80.326,21.33,11.938,0.39,26.249,18.468,1.787,0.56,0.623,1
10145,208,101.983,33.672,7.865,0.251,39.56,11.827,4.281,0.234,0.509,1
5791,170,69.255,23.764,9.109,0.445,27.295,11.882,2.609,0.383,0.707,1
8017,119,41.799,16.485,9.191,0.856,16.492,9.0,1.793,0.558,0.933,0
117,60,27.799,9.371,8.152,0.976,10.198,8.0,1.15,0.87,0.896,0
7724,153,65.355,26.45,7.365,0.45,28.16,9.803,3.591,0.278,0.769,1
3711,196,75.74,28.462,8.768,0.429,30.529,10.607,3.246,0.308,0.731,1
6248,270,135.338,55.339,6.212,0.185,60.745,10.6,8.908,0.112,0.518,1
2590,188,81.983,28.961,8.265,0.351,33.615,12.916,3.504,0.285,0.6,1
8889,218,75.012,32.534,8.531,0.487,33.242,9.675,3.813,0.262,0.845,-1
10504,83,34.042,12.475,8.471,0.9,13.038,9.192,1.473,0.679,0.892,0
7420,110,40.284,15.792,8.869,0.852,16.401,9.192,1.781,0.562,0.909,0
