ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,germination
1085,67,29.799,11.614,7.345,0.948,12.207,7.778,1.581,0.632,0.924,0
1087,115,39.799,15.728,9.31,0.912,15.811,9.0,1.689,0.592,0.943,0
1088,53,25.556,9.251,7.294,1.0,9.849,7.0,1.268,0.788,0.938,0
1089,94,36.87,15.065,7.944,0.869,15.811,8.485,1.896,0.527,0.908,0
1090,89,35.213,14.355,7.894,0.902,14.866,8.0,1.819,0.55,0.932,0
1091,94,37.456,14.741,8.119,0.842,15.811,9.192,1.816,0.551,0.9,0
1092,118,45.941,16.649,9.024,0.703,17.464,10.436,1.845,0.542,0.828,0
1093,110,49.698,18.889,7.415,0.56,21.19,8.944,2.547,0.393,0.827,1
1094,60,27.799,9.879,7.733,0.976,10.44,8.0,1.278,0.783,0.909,0
1095,107,40.042,16.166,8.427,0.839,16.643,8.944,1.918,0.521,0.922,0
1096,52,25.799,9.122,7.258,0.982,9.849,7.778,1.257,0.796,0.904,0
1097,57,26.385,9.088,7.986,1.0,9.849,8.0,1.138,0.879,0.927,0
1098,89,35.456,14.104,8.035,0.89,14.422,8.485,1.755,0.57,0.913,0
1099,91,36.627,14.724,7.869,0.852,14.866,8.22,1.871,0.534,0.888,0
1101,93,36.971,14.705,8.053,0.855,14.866,8.0,1.826,0.548,0.93,0
1102,91,38.627,15.275,7.585,0.766,16.401,8.497,2.014,0.497,0.892,0
1103,74,32.971,12.815,7.352,0.855,13.601,7.0,1.743,0.574,0.937,0
1104,98,43.456,16.807,7.424,0.652,18.385,8.497,2.264,0.442,0.831,0
1105,142,57.255,21.813,8.289,0.544,23.77,10.118,2.632,0.38,0.768,1
1106,110,43.941,16.825,8.324,0.716,18.601,9.192,2.021,0.495,0.866,0
1107,112,47.698,18.094,7.881,0.619,20.248,9.178,2.296,0.436,0.815,1
1108,60,27.799,10.647,7.175,0.976,11.18,7.906,1.484,0.674,0.909,0
1109,97,38.87,14.658,8.426,0.807,15.524,9.363,1.74,0.575,0.874,0
1110,78,32.385,12.422,7.995,0.935,12.649,8.0,1.554,0.644,0.923,0
1111,64,28.385,10.039,8.117,0.998,10.77,8.0,1.237,0.809,0.928,0
1112,97,40.87,15.996,7.721,0.73,17.889,8.854,2.072,0.483,0.87,0
1113,61,27.799,9.799,7.926,0.992,10.44,8.0,1.236,0.809,0.917,0
1114,101,39.698,15.986,8.044,0.805,17.205,8.485,1.987,0.503,0.898,0
1115,121,55.941,20.775,7.416,0.486,24.042,9.734,2.801,0.357,0.718,1
1116,84,36.385,13.614,7.856,0.797,14.56,8.0,1.733,0.577,0.903,0
1117,98,38.284,15.493,8.054,0.84,15.811,8.485,1.924,0.52,0.907,0
1118,104,38.971,15.717,8.425,0.861,15.811,8.0,1.866,0.536,0.95,0
1120,118,51.113,17.882,8.402,0.568,21.401,9.899,2.128,0.47,0.787,1
1121,104,40.042,15.614,8.481,0.815,16.553,9.171,1.841,0.543,0.897,0
1122,89,35.799,14.122,8.024,0.873,14.318,8.0,1.76,0.568,0.922,0
1123,53,26.142,9.144,7.38,0.975,9.849,7.0,1.239,0.807,0.93,0
1124,88,36.385,14.958,7.491,0.835,15.232,8.0,1.997,0.501,0.921,0
1125,114,42.627,16.566,8.762,0.788,17.263,9.0,1.891,0.529,0.905,0
1126,94,37.456,15.006,7.976,0.842,15.652,8.875,1.882,0.531,0.908,0
1128,76,33.799,13.247,7.305,0.836,13.601,7.727,1.813,0.551,0.884,0
1129,115,42.87,16.743,8.745,0.786,17.205,9.391,1.915,0.522,0.888,0
1130,99,39.113,15.93,7.913,0.813,16.155,8.497,2.013,0.497,0.884,0
1131,105,40.042,15.576,8.583,0.823,16.155,9.459,1.815,0.551,0.894,0
1132,56,26.971,9.459,7.538,0.967,10.296,8.0,1.255,0.797,0.911,0
1133,86,33.799,12.629,8.671,0.946,13.601,9.707,1.457,0.687,0.925,0
1134,97,37.213,14.702,8.4,0.88,15.297,8.0,1.75,0.571,0.942,0
1135,105,38.042,14.741,9.069,0.912,15.524,9.0,1.625,0.615,0.925,0
1137,86,32.627,11.131,9.837,1.0,12.083,10.0,1.132,0.884,0.925,0
1138,120,41.799,16.001,9.549,0.863,16.553,10.0,1.676,0.597,0.927,0
1139,119,40.627,14.587,10.387,0.906,15.264,11.18,1.404,0.712,0.919,0
1141,102,37.213,14.269,9.102,0.926,14.866,9.0,1.568,0.638,0.94,0
1142,85,36.042,14.213,7.615,0.822,14.866,8.489,1.867,0.536,0.895,0
1143,107,40.284,15.801,8.622,0.829,16.155,9.391,1.833,0.546,0.892,0
1144,91,35.456,14.293,8.106,0.91,14.765,8.875,1.763,0.567,0.915,0
1145,94,37.213,13.351,8.965,0.853,13.928,9.806,1.489,0.671,0.891,0
1147,151,46.284,17.304,11.11,0.886,18.358,12.333,1.557,0.642,0.918,0
1148,132,42.87,15.859,10.598,0.903,16.763,11.0,1.496,0.668,0.923,0
1149,86,34.385,13.497,8.113,0.914,13.928,8.0,1.664,0.601,0.94,0
1150,119,40.627,16.12,9.399,0.906,16.492,9.0,1.715,0.583,0.944,0
1151,94,35.456,13.297,9.001,0.94,13.892,9.192,1.477,0.677,0.922,0
1152,105,38.971,14.994,8.916,0.869,15.232,9.0,1.682,0.595,0.938,0
1153,61,27.799,10.164,7.641,0.992,10.817,8.0,1.33,0.752,0.91,0
1154,104,38.284,14.26,9.286,0.892,14.866,10.0,1.536,0.651,0.904,0
1156,100,38.284,14.848,8.575,0.857,15.0,9.192,1.731,0.578,0.897,0
1157,98,37.456,13.98,8.926,0.878,14.422,9.839,1.566,0.638,0.899,0
1158,82,34.042,12.919,8.082,0.889,13.416,8.944,1.599,0.626,0.896,0
1159,100,37.799,14.54,8.757,0.88,14.866,9.0,1.66,0.602,0.926,0
1161,87,38.627,15.611,7.096,0.733,16.553,8.31,2.2,0.455,0.874,0
1162,101,38.042,14.557,8.834,0.877,15.0,9.6,1.648,0.607,0.906,0
1163,101,38.042,15.059,8.54,0.877,15.652,9.701,1.763,0.567,0.918,0
1164,109,39.213,14.708,9.436,0.891,15.232,9.944,1.559,0.642,0.92,0
1165,93,35.456,13.902,8.517,0.93,14.422,9.192,1.632,0.613,0.916,0
1166,107,38.87,15.339,8.882,0.89,15.811,9.192,1.727,0.579,0.922,0
1167,112,41.213,16.036,8.893,0.829,16.155,9.615,1.803,0.555,0.918,0
1168,108,39.698,16.299,8.436,0.861,16.643,9.192,1.932,0.518,0.904,0
1169,130,46.184,18.877,8.768,0.766,19.235,9.707,2.153,0.465,0.881,0
1170,112,40.284,16.345,8.724,0.867,16.643,9.391,1.873,0.534,0.914,0
1171,97,36.042,13.296,9.289,0.938,13.928,9.839,1.431,0.699,0.924,0
1172,105,38.87,16.092,8.308,0.873,16.643,9.192,1.937,0.516,0.921,0
1173,60,27.799,9.535,8.012,0.976,10.296,8.485,1.19,0.84,0.909,0
1174,97,38.627,16.02,7.709,0.817,16.553,8.497,2.078,0.481,0.915,0
1176,98,36.627,13.646,9.144,0.918,14.318,9.0,1.492,0.67,0.925,0
1177,100,39.698,15.798,8.059,0.797,16.155,8.929,1.96,0.51,0.858,0
1178,102,38.627,15.532,8.362,0.859,16.125,9.391,1.858,0.538,0.923,0
1179,112,38.627,14.583,9.779,0.943,15.232,10.0,1.491,0.671,0.941,0
1180,106,38.627,14.602,9.242,0.893,14.866,10.0,1.58,0.633,0.902,0
1181,99,37.556,14.861,8.482,0.882,14.866,8.0,1.752,0.571,0.952,0
1182,109,40.527,17.119,8.107,0.834,17.205,8.485,2.112,0.474,0.905,0
1183,103,37.799,14.43,9.088,0.906,14.56,9.0,1.588,0.63,0.936,0
1185,118,40.042,15.188,9.892,0.925,16.125,10.607,1.535,0.651,0.94,0
1186,99,37.698,14.945,8.434,0.875,15.264,9.192,1.772,0.564,0.896,0
1187,81,32.385,11.914,8.657,0.971,12.806,9.192,1.376,0.727,0.942,0
1188,98,37.456,15.187,8.216,0.878,15.62,8.485,1.849,0.541,0.925,0
1189,111,40.042,15.276,9.252,0.87,15.811,9.803,1.651,0.606,0.914,0
1190,112,39.213,15.383,9.27,0.915,15.524,9.0,1.66,0.603,0.937,0
1191,97,36.385,13.829,8.931,0.921,14.318,9.0,1.548,0.646,0.942,0
1192,113,40.042,14.766,9.744,0.886,15.297,10.0,1.515,0.66,0.919,0
1193,70,30.385,10.933,8.152,0.953,11.662,8.0,1.341,0.746,0.927,0
1194,117,40.87,15.796,9.431,0.88,16.643,9.899,1.675,0.597,0.925,0
1195,114,40.627,15.712,9.238,0.868,16.279,9.0,1.701,0.588,0.931,0
1196,130,45.113,17.475,9.472,0.803,18.028,10.6,1.845,0.542,0.893,0
1197,122,41.698,16.146,9.621,0.882,16.553,10.2,1.678,0.596,0.914,0
1198,112,40.042,15.288,9.327,0.878,15.811,10.0,1.639,0.61,0.922,0
1199,110,41.113,15.332,9.135,0.818,15.811,9.707,1.678,0.596,0.884,0
1200,114,40.87,15.504,9.362,0.858,16.553,10.0,1.656,0.604,0.916,0
1201,202,91.355,39.364,6.534,0.304,37.656,9.035,6.025,0.166,0.641,1
1202,206,94.426,37.318,7.028,0.29,39.319,10.0,5.31,0.188,0.619,1
1203,95,36.385,14.595,8.288,0.902,14.56,8.0,1.761,0.568,0.936,0
1204,101,38.284,14.92,8.619,0.866,15.652,9.192,1.731,0.578,0.902,0
1205,78,31.456,11.229,8.845,0.991,12.083,9.192,1.27,0.788,0.912,0
1206,104,40.042,15.387,8.606,0.815,16.125,9.701,1.788,0.559,0.893,0
1207,91,40.87,17.416,6.653,0.685,18.028,7.889,2.618,0.382,0.871,0
1208,91,35.456,13.328,8.693,0.91,13.928,9.0,1.533,0.652,0.91,0
1209,91,37.698,14.708,7.877,0.805,15.652,8.497,1.867,0.536,0.875,0
1210,172,83.841,32.783,6.68,0.307,36.77,9.285,4.907,0.204,0.642,1
1211,110,38.87,14.366,9.749,0.915,15.0,10.607,1.474,0.679,0.905,0
1212,93,37.113,14.437,8.202,0.848,14.422,8.8,1.76,0.568,0.877,0
1213,101,38.284,14.486,8.877,0.866,15.232,9.656,1.632,0.613,0.882,0
1214,51,25.799,8.989,7.223,0.963,9.849,7.778,1.244,0.804,0.887,0
1215,109,40.87,16.544,8.389,0.82,17.0,8.944,1.972,0.507,0.912,0
1216,93,36.627,14.758,8.024,0.871,14.866,8.433,1.839,0.544,0.903,0
1217,74,31.799,11.267,8.363,0.92,12.53,9.0,1.347,0.742,0.919,0
1218,143,62.426,25.014,7.279,0.461,27.019,9.899,3.437,0.291,0.715,1
1219,202,86.77,33.224,7.741,0.337,37.216,11.0,4.292,0.233,0.729,1
1220,102,38.385,15.32,8.477,0.87,15.524,8.0,1.807,0.553,0.944,0
1222,101,39.113,15.606,8.24,0.83,15.811,9.192,1.894,0.528,0.871,0
1223,85,33.213,12.197,8.873,0.968,13.0,9.0,1.375,0.727,0.924,0
1224,100,39.456,15.587,8.169,0.807,15.811,8.489,1.908,0.524,0.889,0
1225,108,40.042,14.595,9.422,0.846,15.652,10.733,1.549,0.646,0.885,0
1226,74,31.799,11.642,8.093,0.92,12.728,8.485,1.439,0.695,0.914,0
1228,142,64.426,28.599,6.322,0.43,28.178,8.497,4.524,0.221,0.732,1
1229,88,34.87,12.792,8.759,0.909,13.416,9.391,1.46,0.685,0.889,0
1230,97,37.799,15.221,8.114,0.853,15.297,8.0,1.876,0.533,0.928,0
1231,111,39.698,15.88,8.9,0.885,16.553,9.899,1.784,0.56,0.91,0
1232,88,34.042,11.919,9.401,0.954,13.0,10.0,1.268,0.789,0.917,0
1233,123,43.941,18.079,8.663,0.801,18.028,9.192,2.087,0.479,0.898,0
1234,136,44.77,14.727,11.758,0.853,16.279,12.728,1.252,0.798,0.892,0
1235,183,78.669,30.555,7.626,0.372,33.615,11.525,4.007,0.25,0.64,1
1236,114,39.213,13.008,11.159,0.932,13.928,11.0,1.166,0.858,0.927,0
1237,116,41.213,16.189,9.123,0.858,16.492,9.0,1.775,0.564,0.932,0
1238,77,30.971,10.393,9.434,1.0,11.18,9.0,1.102,0.908,0.951,0
1239,282,104.569,37.173,9.659,0.324,43.186,14.0,3.849,0.26,0.623,1
1242,206,65.841,24.269,10.808,0.597,26.627,13.05,2.245,0.445,0.821,1
1243,144,47.113,17.165,10.681,0.815,18.028,11.628,1.607,0.622,0.886,0
1244,162,60.527,21.209,9.726,0.556,24.597,12.0,2.181,0.459,0.77,1
1245,168,56.184,21.348,10.02,0.669,23.409,11.628,2.131,0.469,0.84,1
1246,201,71.841,21.756,11.763,0.489,26.0,14.659,1.849,0.541,0.728,1
1247,153,57.012,18.355,10.613,0.592,22.204,13.0,1.729,0.578,0.767,1
1248,184,64.77,20.082,11.666,0.551,22.204,14.6,1.721,0.581,0.757,1
1249,191,58.87,23.268,10.452,0.693,24.331,11.0,2.226,0.449,0.878,1
1250,90,42.042,14.094,8.13,0.64,17.0,10.027,1.734,0.577,0.783,1
1251,123,48.527,17.93,8.734,0.656,20.248,9.899,2.053,0.487,0.84,0
1252,158,57.012,21.33,9.432,0.611,23.601,11.314,2.262,0.442,0.812,1
1253,206,67.255,24.412,10.744,0.572,26.0,13.812,2.272,0.44,0.755,1
1254,173,63.598,24.912,8.842,0.537,27.313,11.045,2.818,0.355,0.772,1
1255,178,58.527,21.202,10.69,0.653,22.804,13.0,1.983,0.504,0.83,1
1256,117,40.284,15.226,9.784,0.906,15.811,10.464,1.556,0.643,0.903,0
1257,213,77.598,25.423,10.668,0.445,30.887,14.417,2.383,0.42,0.71,1
1258,160,57.355,21.326,9.553,0.611,23.854,10.77,2.232,0.448,0.814,1
1259,113,40.284,16.259,8.849,0.875,16.643,9.839,1.837,0.544,0.908,0
1261,181,69.012,24.794,9.295,0.478,27.731,12.542,2.668,0.375,0.696,1
1262,241,82.912,21.161,14.501,0.441,26.173,18.438,1.459,0.685,0.672,1
1263,158,59.841,22.476,8.951,0.554,22.825,10.878,2.511,0.398,0.782,1
1264,153,56.77,19.081,10.21,0.597,21.541,11.936,1.869,0.535,0.795,1
1265,203,71.355,28.42,9.095,0.501,30.083,10.889,3.125,0.32,0.814,1
1266,193,65.012,26.81,9.166,0.574,26.926,10.679,2.925,0.342,0.832,1
1267,172,50.284,17.943,12.205,0.855,18.682,12.0,1.47,0.68,0.93,0
1268,226,100.811,40.241,7.151,0.279,43.081,10.712,5.628,0.178,0.559,1
1269,175,59.113,22.266,10.007,0.629,24.187,11.0,2.225,0.449,0.858,1
1270,195,70.669,27.446,9.046,0.491,29.53,11.18,3.034,0.33,0.777,1
1271,149,54.77,19.371,9.794,0.624,21.19,12.203,1.978,0.506,0.782,1
1272,102,37.213,13.479,9.635,0.926,14.422,10.539,1.399,0.715,0.927,0
1273,177,63.598,24.974,9.024,0.55,26.571,11.278,2.768,0.361,0.823,1
1275,168,64.426,26.186,8.169,0.509,28.178,10.733,3.206,0.312,0.776,1
1276,121,40.87,15.421,9.991,0.91,16.155,10.733,1.544,0.648,0.92,0
1277,157,58.184,23.089,8.658,0.583,24.597,10.752,2.667,0.375,0.813,1
1278,167,57.698,22.796,9.328,0.63,24.042,11.0,2.444,0.409,0.848,1
1279,207,69.012,24.103,10.935,0.546,28.018,13.36,2.204,0.454,0.792,1
1280,174,61.841,23.683,9.354,0.572,25.554,11.949,2.532,0.395,0.78,1
1281,220,75.74,31.163,8.989,0.482,32.802,11.742,3.467,0.288,0.765,1
1282,223,74.669,29.021,9.784,0.503,32.202,11.628,2.966,0.337,0.831,1
1283,266,77.255,31.215,10.85,0.56,32.311,12.965,2.877,0.348,0.853,1
1284,311,86.811,33.531,11.809,0.519,34.015,15.205,2.839,0.352,0.737,1
1285,244,86.326,31.397,9.895,0.411,33.242,12.728,3.173,0.315,0.676,1
1286,208,68.426,26.268,10.082,0.558,28.844,12.398,2.606,0.384,0.821,1
1287,217,82.083,27.312,10.116,0.405,32.45,14.422,2.7,0.37,0.671,1
1288,188,73.74,29.78,8.038,0.434,32.202,10.81,3.705,0.27,0.758,1
1289,108,38.87,15.167,9.067,0.898,15.811,9.899,1.673,0.598,0.911,0
1291,136,64.77,21.568,8.029,0.407,26.306,10.878,2.686,0.372,0.665,1
1292,202,91.255,26.314,9.774,0.305,35.128,15.534,2.692,0.371,0.593,1
1293,176,58.184,23.623,9.486,0.653,24.597,11.18,2.49,0.402,0.844,1
1294,134,55.598,18.5,9.222,0.545,20.881,12.0,2.006,0.499,0.751,1
1295,152,61.355,23.073,8.388,0.507,25.962,10.407,2.751,0.364,0.779,1
1296,171,59.355,23.827,9.138,0.61,24.515,10.914,2.608,0.383,0.818,1
1297,150,61.355,25.056,7.622,0.501,26.249,9.864,3.287,0.304,0.771,1
1298,178,72.426,24.825,9.129,0.426,29.155,13.393,2.719,0.368,0.656,1
1299,163,51.113,20.0,10.377,0.784,21.471,11.628,1.927,0.519,0.908,0
1300,63,31.456,13.034,6.154,0.8,13.601,7.071,2.118,0.472,0.857,0
1301,165,59.598,23.156,9.073,0.584,24.207,11.314,2.552,0.392,0.789,1
1302,169,69.012,25.517,8.433,0.446,25.71,10.791,3.026,0.33,0.73,1
1303,197,73.012,28.321,8.856,0.464,28.862,10.522,3.198,0.313,0.777,1
1304,208,78.326,20.857,12.697,0.426,27.295,17.563,1.643,0.609,0.663,1
1305,206,88.912,26.695,9.825,0.327,30.676,15.1,2.717,0.368,0.597,1
1306,210,68.669,25.803,10.363,0.56,27.295,12.7,2.49,0.402,0.769,1
1308,114,39.456,13.793,10.523,0.92,14.56,11.0,1.311,0.763,0.912,0
1309,238,100.811,30.808,9.836,0.294,37.121,15.267,3.132,0.319,0.529,1
1310,273,101.64,34.2,10.164,0.332,39.357,14.299,3.365,0.297,0.585,1
1311,194,70.184,26.16,9.442,0.495,29.155,12.369,2.77,0.361,0.77,1
1312,246,93.64,32.593,9.61,0.353,35.511,13.092,3.392,0.295,0.643,1
1313,219,90.083,34.105,8.176,0.339,39.217,11.157,4.171,0.24,0.704,1
1314,149,56.87,21.728,8.731,0.579,23.77,10.914,2.488,0.402,0.808,1
1315,168,65.012,24.508,8.728,0.499,25.962,11.316,2.808,0.356,0.732,1
1316,127,45.698,16.523,9.787,0.764,18.385,10.647,1.688,0.592,0.87,0
1317,171,62.527,23.678,9.195,0.55,25.807,11.779,2.575,0.388,0.783,1
1318,106,38.87,15.019,8.986,0.882,16.125,9.899,1.671,0.598,0.906,0
1319,185,62.527,24.249,9.714,0.595,23.77,11.0,2.496,0.401,0.847,1
1320,249,87.397,36.786,8.618,0.41,36.249,11.259,4.268,0.234,0.701,1
1321,209,84.083,27.921,9.531,0.371,33.377,13.793,2.93,0.341,0.64,1
1322,210,77.841,29.764,8.983,0.436,30.414,11.3,3.313,0.302,0.725,1
1324,209,78.083,27.559,9.656,0.431,30.887,12.868,2.854,0.35,0.693,1
1325,222,99.397,37.492,7.539,0.282,40.025,11.538,4.973,0.201,0.567,1
1326,234,107.539,40.396,7.375,0.254,46.043,12.203,5.477,0.183,0.565,1
1327,118,41.113,16.206,9.271,0.877,16.643,9.899,1.748,0.572,0.904,0
1328,128,42.284,15.163,10.748,0.9,15.811,11.926,1.411,0.709,0.892,0
1329,190,70.426,26.092,9.272,0.481,28.46,12.164,2.814,0.355,0.751,1
1330,60,28.385,9.21,8.294,0.936,10.296,8.944,1.11,0.901,0.889,0
1331,134,44.042,16.174,10.549,0.868,16.643,11.068,1.533,0.652,0.918,0
1332,155,48.527,18.111,10.897,0.827,18.974,11.18,1.662,0.602,0.92,0
1333,171,62.527,24.424,8.914,0.55,26.42,11.6,2.74,0.365,0.79,1
1334,177,62.426,22.791,9.888,0.571,24.698,12.224,2.305,0.434,0.748,1
1335,187,67.598,26.336,9.041,0.514,28.16,11.281,2.913,0.343,0.757,1
1336,223,83.983,32.226,8.811,0.397,36.235,12.09,3.658,0.273,0.717,1
1337,123,42.284,16.117,9.717,0.864,17.205,10.607,1.659,0.603,0.911,0
1338,66,28.971,10.007,8.398,0.988,10.77,8.0,1.192,0.839,0.936,0
1339,109,37.799,13.333,10.409,0.959,13.892,10.0,1.281,0.781,0.936,0
1340,148,54.527,22.464,8.389,0.626,23.087,10.337,2.678,0.373,0.841,1
1341,212,70.669,25.526,10.574,0.533,28.844,13.087,2.414,0.414,0.764,1
1342,193,63.841,21.625,11.363,0.595,23.259,13.864,1.903,0.525,0.786,1
1343,192,58.284,20.615,11.858,0.71,22.136,13.0,1.738,0.575,0.879,1
1344,222,74.184,26.608,10.623,0.507,28.443,13.0,2.505,0.399,0.758,1
1345,77,31.556,11.755,8.34,0.972,12.53,8.0,1.409,0.71,0.957,0
1346,115,40.87,15.469,9.466,0.865,16.155,10.119,1.634,0.612,0.902,0
1347,108,38.627,14.58,9.431,0.91,15.62,10.4,1.546,0.647,0.915,0
1348,109,39.698,15.461,8.976,0.869,16.125,9.899,1.723,0.581,0.897,0
1349,105,38.627,14.647,9.127,0.884,15.232,9.803,1.605,0.623,0.921,0
1350,137,43.456,16.258,10.729,0.912,16.763,11.0,1.515,0.66,0.923,0
1351,94,36.042,11.571,10.343,0.909,13.0,11.0,1.119,0.894,0.895,0
1353,89,34.385,12.416,9.127,0.946,13.0,9.0,1.36,0.735,0.932,0
1354,82,32.627,11.087,9.417,0.968,11.705,9.899,1.177,0.849,0.916,0
1355,80,32.385,12.47,8.168,0.959,12.649,8.0,1.527,0.655,0.93,0
1356,65,28.971,9.777,8.465,0.973,10.44,8.0,1.155,0.866,0.922,0
1357,105,38.627,15.304,8.735,0.884,15.811,9.0,1.752,0.571,0.925,0
1358,107,39.456,14.401,9.46,0.864,15.0,10.111,1.522,0.657,0.895,0
1359,104,38.042,13.51,9.802,0.903,14.422,10.607,1.378,0.726,0.908,0
1360,98,36.042,13.63,9.154,0.948,14.422,9.899,1.489,0.672,0.92,0
1361,125,42.527,16.931,9.4,0.869,17.493,9.899,1.801,0.555,0.912,0
1362,108,39.213,15.091,9.112,0.883,15.524,9.0,1.656,0.604,0.931,0
1363,100,36.87,14.065,9.053,0.924,14.422,9.839,1.554,0.644,0.913,0
1364,120,40.87,15.592,9.799,0.903,16.125,10.607,1.591,0.629,0.923,0
1365,85,33.799,12.047,8.983,0.935,13.038,9.839,1.341,0.746,0.919,0
1367,109,39.213,15.217,9.12,0.891,15.524,9.0,1.668,0.599,0.936,0
1368,123,42.284,16.228,9.65,0.864,17.0,10.733,1.682,0.595,0.901,0
1369,90,34.627,12.99,8.821,0.943,13.601,9.192,1.473,0.679,0.928,0
1370,110,40.284,15.375,9.109,0.852,15.811,9.899,1.688,0.592,0.898,0
1371,100,36.042,12.511,10.177,0.967,13.416,10.607,1.229,0.813,0.926,0
1372,93,34.385,12.499,9.473,0.988,13.0,9.0,1.319,0.758,0.944,0
1373,111,39.456,14.054,10.056,0.896,14.765,11.0,1.398,0.716,0.917,0
1374,110,40.042,15.485,9.045,0.862,15.811,9.944,1.712,0.584,0.913,0
1375,123,42.042,15.711,9.968,0.874,16.492,10.0,1.576,0.634,0.918,0
1376,83,33.213,11.976,8.824,0.946,12.649,9.0,1.357,0.737,0.917,0
1377,88,34.284,13.052,8.585,0.941,13.928,9.192,1.52,0.658,0.907,0
1379,132,43.698,16.951,9.915,0.869,17.889,11.0,1.71,0.585,0.926,0
1380,125,41.698,15.608,10.197,0.903,16.492,11.0,1.531,0.653,0.916,0
1381,100,36.87,13.044,9.761,0.924,13.928,10.286,1.336,0.748,0.909,0
1382,108,38.042,13.875,9.911,0.938,14.422,10.607,1.4,0.714,0.919,0
1383,128,42.042,15.679,10.395,0.91,16.155,11.0,1.508,0.663,0.931,0
1384,103,38.627,13.615,9.633,0.867,14.765,10.394,1.413,0.708,0.896,0
1385,217,55.698,18.263,15.128,0.879,20.125,16.0,1.207,0.828,0.923,0
1386,117,40.284,15.635,9.528,0.906,16.401,9.899,1.641,0.609,0.918,0
1387,93,35.456,13.637,8.683,0.93,14.213,9.192,1.571,0.637,0.912,0
1388,73,30.971,11.289,8.234,0.956,11.705,8.0,1.371,0.729,0.936,0
1389,133,44.284,16.893,10.024,0.852,17.72,10.672,1.685,0.593,0.914,0
1390,113,39.456,15.027,9.574,0.912,15.652,10.286,1.57,0.637,0.915,0
1391,68,29.213,9.713,8.914,1.0,10.44,9.0,1.09,0.918,0.919,0
1392,117,40.284,15.238,9.776,0.906,16.155,10.607,1.559,0.642,0.925,0
1393,103,36.627,12.921,10.15,0.965,13.892,10.607,1.273,0.786,0.936,0
1394,87,33.799,11.413,9.706,0.957,12.806,10.0,1.176,0.85,0.916,0
1396,126,41.698,15.926,10.074,0.911,16.553,10.817,1.581,0.633,0.913,0
1397,160,47.113,15.418,13.213,0.906,17.0,14.0,1.167,0.857,0.909,0
1398,112,38.284,13.831,10.31,0.96,14.422,10.607,1.342,0.745,0.918,0
1399,103,38.385,13.826,9.485,0.878,15.264,9.0,1.458,0.686,0.945,0
1400,131,42.627,16.264,10.255,0.906,17.0,11.0,1.586,0.631,0.942,0
1401,134,43.456,16.069,10.617,0.892,16.553,11.068,1.513,0.661,0.924,0
1402,106,37.456,13.322,10.131,0.949,13.892,10.607,1.315,0.76,0.922,0
1403,136,43.456,15.575,11.118,0.905,16.155,11.642,1.401,0.714,0.916,0
1404,136,43.456,16.603,10.43,0.905,17.493,11.18,1.592,0.628,0.928,0
1405,128,42.627,16.355,9.965,0.885,16.763,10.0,1.641,0.609,0.931,0
1406,95,35.456,12.691,9.531,0.95,13.416,10.286,1.332,0.751,0.905,0
1407,136,44.284,16.883,10.256,0.871,17.493,10.976,1.646,0.607,0.922,0
1408,128,42.527,16.451,9.907,0.889,17.0,10.6,1.661,0.602,0.908,0
1409,96,35.213,13.032,9.38,0.973,13.601,9.0,1.389,0.72,0.946,0
1410,137,44.627,17.211,10.135,0.864,17.72,10.0,1.698,0.589,0.932,0
1411,138,44.87,16.745,10.493,0.861,17.263,11.0,1.596,0.627,0.908,0
1412,135,42.87,14.035,12.247,0.923,15.232,12.854,1.146,0.873,0.922,0
1413,121,42.87,14.421,10.683,0.827,15.264,11.455,1.35,0.741,0.88,0
1414,140,45.113,17.949,9.931,0.864,18.358,10.607,1.807,0.553,0.924,0
1415,83,33.213,12.432,8.5,0.946,13.0,9.0,1.463,0.684,0.917,0
1416,105,39.456,13.987,9.558,0.848,15.264,10.539,1.463,0.683,0.897,0
1417,89,34.042,11.561,9.802,0.965,12.649,10.0,1.179,0.848,0.913,0
1418,122,40.627,15.039,10.329,0.929,15.524,10.0,1.456,0.687,0.942,0
1419,85,33.799,10.556,10.252,0.935,11.705,10.0,1.03,0.971,0.909,0
1420,140,44.87,16.698,10.675,0.874,17.464,11.157,1.564,0.639,0.912,0
1421,93,35.456,13.401,8.836,0.93,14.318,9.839,1.517,0.659,0.916,0
1422,134,43.941,16.709,10.211,0.872,17.464,11.0,1.636,0.611,0.899,0
1423,137,44.627,17.409,10.02,0.864,17.889,10.672,1.737,0.576,0.932,0
1424,101,37.456,13.266,9.694,0.905,13.928,10.262,1.368,0.731,0.902,0
1425,131,43.213,17.199,9.698,0.882,17.889,10.0,1.773,0.564,0.946,0
1426,95,35.213,12.395,9.758,0.963,13.0,10.0,1.27,0.787,0.922,0
1427,129,42.627,16.86,9.742,0.892,17.088,10.0,1.731,0.578,0.938,0
1428,112,38.627,14.411,9.895,0.943,14.866,10.0,1.456,0.687,0.929,0
1429,128,42.87,16.626,9.803,0.875,17.088,10.733,1.696,0.59,0.914,0
1430,120,40.284,15.016,10.175,0.929,15.62,10.607,1.476,0.678,0.92,0
1431,134,43.456,15.592,10.942,0.892,16.155,12.0,1.425,0.702,0.908,0
1432,127,42.627,15.686,10.309,0.878,15.811,10.0,1.522,0.657,0.937,0
