ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,germination
77,125,41.698,15.555,10.232,0.903,16.125,10.607,1.52,0.658,0.916,0
78,126,41.698,15.698,10.22,0.911,16.155,11.068,1.536,0.651,0.913,0
79,111,39.456,15.003,9.42,0.896,15.652,10.186,1.593,0.628,0.914,0
80,53,25.556,8.635,7.815,1.0,9.434,8.0,1.105,0.905,0.93,0
81,100,37.799,14.367,8.862,0.88,14.56,9.0,1.621,0.617,0.917,0
82,105,38.87,15.375,8.695,0.873,15.811,9.192,1.768,0.566,0.913,0
83,113,40.042,14.763,9.746,0.886,15.524,10.0,1.515,0.66,0.915,0
84,123,41.456,16.059,9.752,0.899,16.553,10.286,1.647,0.607,0.925,0
85,116,40.284,15.523,9.515,0.898,16.125,9.899,1.631,0.613,0.921,0
86,99,35.799,13.478,9.352,0.971,13.928,9.0,1.441,0.694,0.943,0
87,82,33.213,12.216,8.546,0.934,12.649,9.0,1.429,0.7,0.916,0
89,99,36.87,13.672,9.22,0.915,14.422,9.899,1.483,0.674,0.904,0
90,82,32.627,12.156,8.589,0.968,13.0,9.0,1.415,0.707,0.921,0
91,189,71.598,24.521,9.814,0.463,28.302,13.746,2.499,0.4,0.677,1
92,85,35.213,12.914,8.38,0.861,13.928,9.0,1.541,0.649,0.899,0
93,267,135.196,32.532,10.45,0.184,47.17,20.733,3.113,0.321,0.399,1
94,227,87.74,30.822,9.377,0.371,32.249,12.0,3.287,0.304,0.66,1
96,152,65.355,19.156,10.103,0.447,22.204,12.741,1.896,0.527,0.707,1
97,141,66.426,24.74,7.256,0.402,27.313,10.198,3.409,0.293,0.657,1
98,112,38.87,15.168,9.401,0.932,15.811,9.899,1.613,0.62,0.926,0
100,225,98.326,37.452,7.649,0.292,41.0,11.455,4.896,0.204,0.557,1
101,182,62.77,20.215,11.464,0.58,23.707,13.864,1.763,0.567,0.788,1
102,247,120.51,43.027,7.309,0.214,50.249,13.57,5.887,0.17,0.471,1
103,159,75.012,30.709,6.592,0.355,32.311,10.286,4.658,0.215,0.654,1
104,200,81.497,28.694,8.875,0.378,32.062,12.0,3.233,0.309,0.642,1
105,116,47.698,17.868,8.266,0.641,19.209,9.8,2.162,0.463,0.811,1
106,207,84.912,33.39,7.894,0.361,36.235,12.03,4.23,0.236,0.642,1
107,203,77.012,28.502,9.068,0.43,31.575,11.558,3.143,0.318,0.732,1
108,110,39.698,15.242,9.189,0.877,15.62,9.899,1.659,0.603,0.894,0
109,221,94.426,39.058,7.204,0.311,39.812,10.43,5.422,0.184,0.612,1
110,204,92.225,36.111,7.193,0.301,39.825,10.607,5.02,0.199,0.596,1
111,278,122.125,34.904,10.141,0.234,44.407,17.75,3.442,0.291,0.486,1
112,216,77.497,24.418,11.263,0.452,31.257,14.932,2.168,0.461,0.712,1
113,173,82.912,25.586,8.609,0.316,29.967,14.569,2.972,0.336,0.555,1
114,142,58.77,21.343,8.471,0.517,23.324,11.098,2.52,0.397,0.726,1
116,178,77.74,29.904,7.579,0.37,31.385,11.649,3.946,0.253,0.631,1
117,184,75.497,23.733,9.871,0.406,27.313,15.47,2.404,0.416,0.62,1
118,60,27.799,9.371,8.152,0.976,10.198,8.0,1.15,0.87,0.896,0
119,179,62.426,24.902,9.152,0.577,26.833,11.364,2.721,0.368,0.85,1
120,186,62.184,25.349,9.342,0.604,25.495,11.236,2.713,0.369,0.814,1
121,165,57.113,19.245,10.916,0.636,22.023,13.305,1.763,0.567,0.803,1
122,201,86.912,28.166,9.086,0.334,32.65,12.927,3.1,0.323,0.606,1
123,103,36.971,13.769,9.525,0.947,13.928,9.0,1.446,0.692,0.954,0
124,156,53.698,19.942,9.96,0.68,21.954,11.543,2.002,0.499,0.867,1
125,202,75.154,29.243,8.795,0.449,29.967,11.342,3.325,0.301,0.699,1
126,123,41.113,15.392,10.174,0.914,16.553,10.607,1.513,0.661,0.918,0
127,230,96.326,34.509,8.486,0.311,39.56,13.23,4.067,0.246,0.582,1
128,149,52.284,20.285,9.352,0.685,21.587,10.0,2.169,0.461,0.879,1
130,204,79.497,28.62,9.076,0.406,32.45,12.641,3.153,0.317,0.658,1
131,145,51.941,18.995,9.719,0.675,21.024,11.094,1.954,0.512,0.843,1
132,101,37.213,13.832,9.297,0.917,14.318,9.839,1.488,0.672,0.927,0
133,222,85.983,34.239,8.255,0.377,35.341,11.57,4.147,0.241,0.644,1
134,112,48.527,17.931,7.953,0.598,19.313,10.298,2.255,0.444,0.783,1
135,221,86.569,24.802,11.345,0.371,28.178,17.872,2.186,0.457,0.595,1
136,213,95.397,24.45,11.092,0.294,29.275,18.277,2.204,0.454,0.561,1
138,112,42.284,14.878,9.585,0.787,16.643,10.286,1.552,0.644,0.882,0
139,143,55.113,20.411,8.92,0.592,21.587,10.577,2.288,0.437,0.786,1
140,182,65.012,23.305,9.943,0.541,25.807,12.021,2.344,0.427,0.778,1
141,207,72.083,27.624,9.541,0.501,28.284,12.0,2.895,0.345,0.743,1
142,122,42.042,16.171,9.606,0.867,16.763,10.0,1.683,0.594,0.924,0
